#+TITLE: NATUURKUNDE VWO: OPGAVENPLANNER 2024-2025
#+STARTUP: hidestars
#+OPTIONS: ^:nil
# #+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-readtheorg.setup
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
# #+HTML_HEAD: <link rel="stylesheet" href="https://sandyuraz.com/styles/org.min.css">
#+OPTIONS: num:nil
#+options: num:nil

* Hd1
** Hd1.txt

| Opgave | Gegeven                            | Formules/Concepten                   | Gevraagd                      |
| 35a      | Batterijen, Motor | Energieopslag, Vermogen | Duur van varen met opgeladen batterijen |
| 35b      | Motor, Batterijen | Vermogen | Stroomsterkte door de motor |
| 35c      | Zonnecellen | Vermogen, Oppervlakte | Rendement van zonnecellen |
| 35d      | Zonnecellen, Batterijen | Vermogen, Energieopslag | Tijd voor volledig opladen van de batterijen |
| 36a      | Kabel, Pomp | Vermogen, Energieomzetting in warmte | Warmteontwikkeling per seconde in de kabel |
| 36b      | Kabel, Pomp | Warmteontwikkeling in de kabel | Tijdsduur om temperatuur met 30 °C te laten stijgen |
| 36c      | Kabel, Pomp | Warmteontwikkeling bij andere lengte | Vergelijking van tijdsduur bij andere lengte |
| 37a      | Lampje, Weerstand (R) | Spanning, Stroomsterkte | Waarom lampje zwakker brandt bij toenemende weerstand |
| 37b      | Lampje, Weerstand (R) | Vermogen | Vermogen van lamp bij R = 0 Ω |
| 37c      | Lampje, Weerstand (R) | Vermogen | Vermogen van lamp bij R = 6 Ω |
| 37d      | Weerstand (R) | Warmteontwikkeling | Hoeveelheid warmte per seconde in de weerstand |
| 38       | Weerstanden, Spanningsbron | Weerstand, Warmtevermogen | Weerstand die eerst zijn maximale warmtevermogen bereikt |
| 39a      | Achterruitverwarming, IJs | Vermogen, Energieomzetting | Minimale tijd om ijs te smelten |
| 39b      | Achterruitverwarming, IJs | Smeltprocessen | Redenen waarom smelten langer duurt in de praktijk |
| 39c      | Verwarmingsdraad, Accu | Weerstand, Spanning | Weerstand van één verwarmingsdraad |
| 39d      | Verwarmingsdraad, Constantaan | Weerstand, Opwarmgedrag | Controleer opgave van de fabrikant |
| 39e      | Verwarmingsdraad, Accu | Stroomsterkte | Verandering van stroomsterkte bij doorbranden van draad |
| 40a      | Boiler, Water | Vermogen, Opwarmtijd | Rendement van de boiler berekenen |
| 40b      | Koffiezetapparaat, Verlengsnoer | Weerstand, Warmteontwikkeling | Weerstand koffiezetapparaat, weerstand verlengsnoer, warmteontwikkeling |
| 41       | Plafondlamp, Schakelaar, Fasedraad, Nuldraad | Elektrische veiligheid | Gevaar van schakelaars in nuldraad |
| 42a      | Groepen, Zekeringen | Vermogen | Maximale vermogen dat huis kan opnemen |
| 42b      | Groep, Elektrische apparaten | Vermogen | Controle of apparaten tegelijk kunnen functioneren |
| 43a      | TV, Elektriciteitstarieven | Energieverbruik | Kosten van tv-kijken per jaar |
| 43b      | TV, Stand-by stroom | Energieverbruik | Verspilde energie in stand-bystand per jaar |
| 44a      | Huid, Spanning, Stroomsterkte | Veiligheid bij spanning | Gevoel bij 50 V spanning |
| 44b      | Aardlekschakelaar, Stroomsterkte | Aardlekschakelaar werking | Effectiviteit van aardlekschakelaar bij stroomlekkage |
| 44c      | Spanningzoeker | Veiligheid, Stroomsterkte | Veiligheid bij gebruik van spanningzoeker |
| 45a      | Stroomdraad, Stroomsterkte | Warmteontwikkeling | Warmte per seconde bij maximale belasting |
| 45b      | Stroomdraad, Koperkern | Stroomdraad doorsnede | Waarom grotere doorsnede meer stroom kan dragen |
| 45c      | Stroomdraad, Doorsnede | Stroomsterkte | Niet recht evenredige relatie tussen doorsnede en stroom |
| 45d      | Accu, Lamp | Vermogen, Stroomdraden | Dikkere stroomdraden in de boot versus huis |
| 46a      | Rekstrookje, Constantaandraad | Weerstand, Lengte | Lengte van de constantaandraad berekenen |
| 46b      | Rekstrookje, Constantaandraad | Weerstand | Redenen voor weerstandstoename bij uitrekking |
| 46c      | Rekstrookje, Spanningsmeter | Weerstandsverandering | Verandering van spanning bij weerstandstoename |
| 46d      | Rekstrookje, Uitrekking | Weerstand, Alarm | Spanning waarbij alarm afgaat bij uitrekking |
| 47a      | Straalkachel, Verwarming | Energie | Energiebesparing door straalkachel versus convector |
| 47b      | Straalkachel, Energieverbruik | Verwarming | Energieverbruik van de straalkachel in vergelijking met verwarming |
| 48a      | Booglamp, Lampeffectiviteit | Lichtsterkte, Energie | Energieverbruik en lichtsterkte vergelijking |
| 48b      | Booglamp, Lichtbron | Lichtsterkte | Waarom lichtbron lamp meer verbruikt dan booglamp |
| 49a      | Luchtpomp, Zaklantaarn | Luchtbeweging, Lichtsterkte | Vergelijking van luchtpomp met zaklantaarn |
| 49b      | Luchtpomp, Luchtbeweging | Luchtpompvermogen | Energieverbruik van luchtpomp bij diverse instellingen |
| 50a      | Batterij, Weerstand | Spanning, Stroomsterkte | Kleurcode van weerstand met batterijen en meetinstrument |
| 50b      | Batterij, Weerstand | Spanning, Stroomsterkte | Verandering in stroomsterkte bij grotere weerstandswaarde |
| 50c      | Weerstand, Weerstandscode | Kleurcode | Kleurcode van een weerstand met 1000 Ω |

* Hd6
** Hd6.txt
|  Opgave | Gegeven                            | Formules/Concepten                   | Gevraagd                      |
|----------------|-----------------------------------------------|---------------------------------|----------------------------------------------|
| 1              | IJzer, hout                                  | Dichtheid                       | Vergelijking dichtheden                      |
| 2              | VR-bril, protonen, ISS, Schiphol geluidsnorm | Ontwerp, experimenten           | Ontwerp vs. onderzoek                        |
| 3              | Zweefvliegtuig, regenwolken, wolkenkrabber, radioactief materiaal | Modelstudie                     | Onderzoek vs. ontwerp                        |
| 4              | Buienradar                                   | Beweging van regenwolken         | Natuurkundige formule, factoren voor voorspelling |
| 5              | Gloeilamp                                     | Ohm's wet                        | Onderzoeksvraag herschrijven                 |
| 6              | VR-bril, stekkerdoos, fietser                 | Energieverbruik, weerstand       | Onderzoeksvraag en hypothese                 |
| 7              | Vloeistofthermometer, ijs, kokend water       | Thermische expansie              | Afstand tussen maatstreepjes, onderzoek vs. ontwerp |
| 8              | Fiets, remweg, model                         | Massa-effecten                   | Hypothese en modelstudie                     |
| 9              | Draad, fietser, slinger, vloeistof            | Weerstand, snelheid, slingerperiode, kookpunt | Benodigde meetinstrumenten                   |
| 10             | Blokje, LED-lamp, veer, gloeilamp             | Lengte van touw, massa, vermogen | Grootheden instellen, meten en constant houden |
| 11             | Lampje, spanningsbron, ampèremeter            | Vermogen, stroomsterkte, spanning | Schakelschema, werkplan, meetbereik           |
| 12             | Water, verwarmingsopstelling                  | Specifieke warmtecapaciteit      | Energie nodig om water te verwarmen           |
| 13             | Diagrammen van metingen                      | Grafiekanalyse                   | Verbanden en validiteit van grafieken         |
| 14             | Meetresultaten van proef a, b, c, d           | Validiteit, betrouwbaarheid      | Type fout, speciale voorwaarde               |
| 15             | Brandalarm, VR-bril, theemok                  | Gebruiksvriendelijkheid, temperatuurindicatie | Ontwerpeisen voor producten                   |
| 16             | Parachutepak, valmodel                       | Luchtdichtheid, snelheid         | Eisen aan pak, hoogte, luchtdichtheid         |
| 17             | Blades, protheses, koolstofvezels             | Krachtwerking, stofeigenschappen | Krachtwerking, voordeel bij wedstrijden       |
| 18             | Thermometer                                  | Volumeverandering, schaalverdeling | Nauwkeurigheid van thermometer                |
| 19             | Nuna-zonnewagen                              | Oplossingen voor eisen           | Oplossingen aan eisen 3 t/m 5                |
| 20             | Zonnecellen, elektromotoren, accu              | Vermogen, rendement, afstand     | Stralingsvermogen, accu- en zonnecelgebruik  |
| 21             | NTC-weerstand, LED, spanningsbron, voltmeter | Weerstand-temperatuurrelatie, LED-stroom | Spanning, stroomsterkte, benodigde weerstand  |

* Hd7
** Hd7.txt
|  Opgave | Gegeven                            | Formules/Concepten                   | Gevraagd                      |
|----------------|-----------------------------------------------------------|---------------------------------------------------------|--------------------------------------------------------------|
| 1              | Trommel, druppel water                                    | Eenparige cirkelbeweging                                | a. Omlooptijd, b. Baansnelheid, c. Afstand in één minuut, d. Toerental |
| 2              | CD, punten P en Q                                         | Eenparige cirkelbeweging                                | a. Baansnelheid vergelijking, b. Hoeksnelheid vergelijking, c. Frequentie verandering |
| 3              | Draaimolen, Hanneke, Roel                                 | Eenparige cirkelbeweging                                | a. Baansnelheid Hanneke, b. Locatie snoepje                   |
| 4              | Satelliet, aarde                                         | Gravitatieve aantrekkingskracht, eenparige cirkelbeweging | a. Straal cirkelbaan, b. Baansnelheid satelliet              |
| 5              | Roulette, balletje                                        | Eenparige cirkelbeweging                                | Baansnelheid balletje                                       |
| 6              | Kampala, Sint-Petersburg                                 | Eenparige cirkelbeweging                                | a. Verhouding van stralen, b. Verhouding baansnelheden        |
| 7              | Elektron, maan, wasgoed, fietser                          | Middelpuntzoekende kracht                               | a. Kracht, b. Kracht, c. Kracht, d. Kracht                    |
| 8              | Maan, aarde                                              | Gravitatieve aantrekkingskracht, eenparige cirkelbeweging | a. Baansnelheid maan, b. Middelpuntzoekende kracht            |
| 9              | Kogelslingeraar, kogel                                    | Eenparige cirkelbeweging                                | Baanspoor van kogel                                        |
| 10             | Trommel centrifuge, wasgoed                              | Middelpuntzoekende kracht                               | a. Eenhedenbeschouwing, b. Middelpuntzoekende kracht, c. Verandering baansnelheid, d. Verandering kracht |
| 11             | Vliegtuig                                                  | Liftkracht, middelpuntzoekende kracht                    | a. Natuurlijke verklaring, b. Natuurlijke verklaring          |
| 12             | Voorwerp in een cirkelbeweging                            | Middelpuntzoekende versnelling                          | a. Formule uitleg, b. Vergelijking van versnellingen          |
| 13             | Blokje, touwtje                                           | Middelpuntzoekende kracht                               | a. Middelpuntzoekende kracht, b. Verandering spankracht, c. Verhouding krachten |
| 14             | Aarde, planeet                                            | Gravitatieve aantrekkingskracht                        | a. Eenheid van G, b. Verandering g, c. Massa planeet         |
| 15             | Zon, aarde                                               | Gravitatieve aantrekkingskracht                        | a. Gravitatieve kracht zon op aarde, b. Gravitatieve kracht aarde op zon |
| 16             | Twee loden bollen                                        | Gravitatieve aantrekkingskracht                        | a. Massa bollen, b. Gravitatieve kracht tussen bollen       |
| 17             | Twee satellieten                                          | Gravitatieve aantrekkingskracht, baansnelheid           | a. Verhouding gravitatieve krachten, b. Verhouding baansnelheden, c. Verhouding omlooptijden |
| 18             | Satelliet, aarde                                         | Derde wet van Kepler, gravitatieve aantrekkingskracht   | a. Afleiding formule, b. Hoogte geostationaire satelliet     |
| 19             | Zonnestelsel, melkweg                                    | Eenparige cirkelbeweging                                | a. Afstand in meters, b. Aantal omwentelingen, c. Aantal sterren in de melkweg |
| 20             | Satelliet                                                  | Eenparige cirkelbeweging                                | a. Formule uitleg, b. Formule uitleg, c. Omlooptijd, d. Baan en snelheid, e. Onderzoek |
| 21             | Aarde, zon                                                | Eenparige cirkelbeweging                                | a. Baansnelheid aarde, b. Relatiepijlen, c. Snelheid en afstand, d. Cirkelvormige baan  |
| 22             | Elektron, kern van waterstofatoom                         | Coulombkracht                                           | a. Eenheid constante, b. Omlooptijd elektron, c. Model aanpassing, d. Snelheid elektron |
| 23             | Attractie, Jo                                             | Middelpuntzoekende kracht, G-Force                      | a. Eenheid G-Force, b. Maximale waarde G-Force, c. Snelheid Jo, d. Middelpuntzoekende kracht, e. Kracht in figuren |
| 24             | Ariane-5 raket, luchtweerstand                            | Newton's derde wet, luchtweerstand                      | a. Natuurlijke wet, b. Stuwkracht op T=0s, c. Afleiding formule, d. Uitleg luchtweerstand   |

* Hd8
** Hd8.txt
|  Opgave | Gegeven                            | Formules/Concepten                   | Gevraagd                      |
|----------------|------------------------------------------------------|--------------------------------------------------------|--------------------------------------------------------|
| 1              | Tas, boodschappen                                    | Arbeid: kracht * verplaatsing in de richting van de kracht | Kracht, verplaatsing, aard van arbeid                  |
| 2              | Kar, inzittenden, kabel, rolweerstandskracht          | Arbeid = kracht * verplaatsing * cos(hoek)               | Arbeid door rolweerstand, zwaartekracht, kabelkracht    |
| 3              | Fietser, fiets, helling                              | Arbeid = kracht * verplaatsing * cos(hoek)               | Component zwaartekracht, arbeid door zwaartekracht     |
| 4              | Bal, luchtweerstand                                  | Arbeid = kracht * verplaatsing * cos(hoek)               | Vergelijking arbeid door zwaartekracht en luchtweerstand|
| 5              | Dozen, trap                                          | Arbeid = kracht * verplaatsing                           | Arbeid bij twee of drie keer verplaatsen                |
| 6              | Veer, gewicht, elastiek                              | Arbeid = 1/2 * veerconstante * (uitrekking²)             | Arbeid bij uitrekking van veer of elastiek              |
| 7              | Slede, Jeroen, touw, zand                            | Arbeid = kracht * verplaatsing * cos(hoek)               | Arbeid door wrijvingskracht, trekkracht, zwaartekracht  |
| 8              | Kist, vloer, spierkracht                             | Kinetische energie = 1/2 * massa * snelheid²             | Energieverandering bij constante snelheid               |
| 9              | Water, pomp                                          | Arbeid = kracht * verplaatsing                           | Kracht van pompen, vermogen                              |
| 10             | Ferrari, weerstandkrachten                           | Vermogen = kracht * snelheid                             | Frontale oppervlakte van Ferrari                       |
| 11             | Trein, massa, versnelling                            | Arbeid = 1/2 * massa * snelheid²                        | Arbeid door kracht, variatie van motorkracht             |
| 12             | Auto, snelheid, helling                             | Arbeid = kracht * verplaatsing                           | Wrijvingskracht bij snelheid en hellingshoek            |
| 13             | Auto, snelheid, veiligheidsgordel                    | Kinetische energie = 1/2 * massa * snelheid²            | Remkracht, invloed van veiligheidsgordel                |
| 14             | Jan-van-gent, zwaartekracht                          | Kinetische energie = 1/2 * massa * snelheid²            | Kracht tijdens duik, snelheid bij impact                |
| 15             | Energieformules                                      | Joule = Newtonmeter                                      | Eenheid van energie in formules                         |
| 16             | Verhuisdoos, bal, water                              | Potentiële en kinetische energie                        | Verandering van energie in verschillende situaties      |
| 17             | Steen, pijl, auto, regendruppel                       | Arbeid = kracht * verplaatsing                           | Energieverandering door arbeid en krachten              |
| 18             | Reuzenrad, Sandra                                    | Zwaarte-energie = massa * g * hoogte                    | Verandering in zwaarte-energie en arbeid               |
| 19             | Auto, benzine                                        | Chemische energie = massa * calorische waarde           | Energie van benzine, weerstandskrachten                 |
| 20             | Veer, blokje                                         | Arbeid = 1/2 * veerconstante * (uitrekking²)             | Verandering van energie door uitrekking                 |
| 21             | Voertuig, Joep, touw                                 | Kinetische energie = 1/2 * massa * snelheid²            | Toename kinetische energie, snelheid van kar            |
| 22             | Fiets, Youella, helling                              | Zwaarte-energie = massa * g * hoogte                    | Kinetische energie, weerstandskracht, chemische energie |
| 23             | Huis, aardgas                                        | Energie = warmteverlies / rendement                    | Energiebehoefte en besparing bij temperatuurverschil    |
| 24             | Loes, sprongen                                       | Energiebehoud in verschillende sprongtechnieken         | Hoogte van sprongen met verschillende technieken        |
| 25             | Capsule, valtoren                                    | Zwaarte-energie = massa * g * hoogte                    | Percentage energie omgezet in warmte                   |
| 26             | Kogeltje, toren                                      | Zwaarte-energie = 1/2 * massa * snelheid²                | Maximale hoogte en snelheid bij punt A                 |
| 27             | Polsstokhoogspringer, atleet, stok                    | Energie = potentiële energie + kinetische energie       | Hoogte van zwaartepunt bij sprongetje                   |
| 28             | Achtbaan, trein, passagiers                          | Arbeid = kracht * verplaatsing                           | Elektrische energie voor omhoogtrekken, weerstandskracht|
| 29             | Kogeltje, goot                                       | Zwaarte-energie = massa * g * hoogte                    | Energieverlies door wrijving en snelheid bij verlaten goot|
| 30             | Pogo-stick, Nick                                     | Veerenergie = 1/2 * veerconstante * uitrekking²          | Maximale hoogte, snelheid en veerconstante              |
| 31             | Golfbal, midgetgolfbaan                          | Wet van behoud van energie, gravitatiewet       | Potentiële energie na 2,0 m en 5,0 m, beginsnelheid    |
| 32             | Veer, blokje                                     | Hooke's wet, wet van behoud van energie          | Zwaarte-energie bij verschillende uitrekkingen, Epot,tafel,0 |
| 33             | ISS, aarde                                      | Gravitatiewet, cirkelbeweging                   | Gravitatie-energie, minimum snelheid capsule, bewegingsenergie |
| 34             | Ruimtevaartuig, aarde, maan                       | Wet van behoud van energie, warmtecapaciteit    | Energie voor zachte landing, benodigde brandstof      |
| 35             | Aarde, zwart gat                                | Formule voor ontsnappingssnelheid, zwarte gaten | Ontsnappingssnelheid aarde, straal van zwart gat       |
| 36             | Satelliet, aarde                                | Gravitatiewet, arbeid-energietheorie            | Arbeid voor geostationaire baan, kinetische energie, benodigde arbeid |
| 37             | Satelliet, aarde                                | Gravitatiewet, energie van een satelliet        | Verhouding baansnelheid en ontsnappingssnelheid       |
| 38             | Zonneauto Nuna4, aarde, zon                      | Wet van behoud van energie, energieoplossingen  | Gemiddelde snelheid, oppervlakte zonnecellen, energieverbruik |
| 39             | Achtbaan, trein                                 | Kinematica, arbeid-energieprincipe              | Maximale versnelling, gemiddeld vermogen motor, percentage omgezette energie |

* Hd9
** Hd9.txt
|  Opgave | Gegeven                            | Formules/Concepten                   | Gevraagd                      |
|----------------|-------------------------------------------------|------------------------------------------------|--------------------------------------------|
| 1              | Takje, stoeltje, zuiger, heiblok                | Trillingen, periodieke bewegingen              | Bepalen of er sprake is van trilling       |
| 2              | Hart (cardiogram)                              | Periodieke bewegingen, trilling                | Frequentie, hoogte van spanningspiek       |
| 3              | Blokje, veer                                    | Trillingsfrequentie, meetonzekerheid            | Frequentie, impact van meetmethode         |
| 4              | (U,T)-diagram van trilling                     | Trilling, amplitude, frequentie, fase           | Amplitude, frequentie, fase                |
| 5              | Schommel, peuter                               | Trilling, snelheid                             | Frequentie, maximale snelheid              |
| 6              | Oscillogrammen                                 | Frequentie, tijdbasis                           | Frequentie, tijdbasis                      |
| 7              | (U,T)-diagram van een slinger                  | Trillingstijd, fase                             | Trillingstijd, fase op specifieke tijdstippen |
| 8              | (U,T)-diagram van twee-tonige sirene            | Trilling, amplitude, fase                       | Trillingstijd, amplitude, fase             |
| 9              | Blokje, veer                                    | Veerconstante, harmonische trilling             | Veerconstante, impact op trillingstijd     |
| 10             | (U,T)-diagram van een massa-veersysteem         | Sinusvormige trilling, krachtconstante           | Uitwijking, trillingstijd, krachtconstante |
| 11             | Bol, veer                                       | Harmonische trilling, krachtconstante           | Uitrekking, kracht in uiterste standen     |
| 12             | (U,T)-diagrammen van slingers                   | Faseverschil, trillingstijd, lengte van slinger  | Faseverschil, lengte van slinger           |
| 13             | Blokje, veer                                    | Trillingstijd, krachtconstante                  | Trillingstijd, krachtconstante              |
| 14             | Massa, veer, vloeistof                          | Trillingstijd, weerstandskracht                 | Trillingstijd, impact van vloeistof         |
| 15             | Auto, vering                                    | Trillingsfrequentie, veerconstante              | Veerconstante, impact van massa op trilling |
| 16             | HCl-molecuul                                    | Trillingsenergie, krachtconstante               | Amplitude, snelheid, bindingslengte        |
| 17             | Spinnenweb, spin, insect                        | Trilling, veerconstante                         | Veerconstante, trillingstijd, snelheid      |
| 18             | Veer, kogel, blokje                             | Kinetische energie, harmonische trilling        | Maximale snelheid, amplitude van natrilling|
| 19             | Kogel, touw                                     | Trillingstijd, krachtconstante                  | Krachtconstante, trillingstijd             |
| 20             | Auto, veer                                      | Trillingsenergie, veerconstante                 | Veerconstante, maximale trillingsenergie   |
| 21             | Twee-atomige moleculen                          | Trillingsfrequentie, krachtconstante            | Massa van waterstofatoom, grafische analyse|
| 22             | Stadion, stoeltjes, mensen, armen                                                                 | Golftheorie                                                                                                           | Frequentie, golfsnelheid, golflengte                |
| 23             | Aardbeving, longitudinale golven, transversale golven                                               | Golfsnelheid, tijdsverschil tussen golven, golfbewegingen                                                               | Golflengte van transversale golven, afstand epicentrum, aantal meetstations |
| 24             | Koord, puls, punten A, B, C, D                                                                     | Harmonische trilling, amplitude, trillingstijd, (u,t)-grafiek                                                           | Trillingstoestand, amplitude, (u,t)-grafiek       |
| 25             | Tsunami, waterdiepte, afstand Hawaï tot Zuid-Amerika                                               | Golfsnelheid van de tsunami, amplitude, invloed van waterdiepte                                                          | Golfsnelheid, amplitude bij verschillende waterdiepten |
| 26             | Koord, punt A, punt C, punt E                                                                     | Harmonie, fase van de golf, (u,t)-diagram                                                                             | Frequentie, golfsnelheid, fase van punt E           |
| 27             | Vleermuizen, dolfijnen, echolocatie, geluidsgolven, temperatuur                                     | Geluidsfrequentie, golflengte, afstandsmeting                                                                           | Kleinste golflengte, afstand tot voorwerp          |
| 28             | Politieauto, sirene, luchttemperatuur                                                                | Dopplereffect                                                                                                         | Frequentie van lage toon, snelheid politieauto      |
| 29             | Ultrasone plaatssensor, tijdsduur van puls, proefpersoon                                             | Frequentie, afstandmeting, pulsen per seconde                                                                           | Frequentie, pulsinstelling voor grote afstanden    |
| 30             | Toongenerator, microfoon, dubbelstraaloscilloscoop                                                  | Frequentie van het geluid, verschuiving van oscillogram                                                                 | Frequentie, verschuiving van oscillogram           |
| 31             | Luidsprekers A en B, punt Q                                                                         | Interferentie van geluidsgolven                                                                                           | Positie van punt Q, geluidsterkte                  |
| 32             | Fluitje, buis, temperatuur                                                                          | Geluidsfrequentie, akoestische golflengte, verschillen in buislengte                                                    | Frequentie van toon, afstandsverschil               |
| 33             | Vlaggenlijn, katrol, klamp                                                                         | Trillingstijd, voortplantingssnelheid van de trilling                                                                    | Voortplantingssnelheid, massa per lengte-eenheid    |
| 34             | Stemvork, klankkast, lucht                                                                          | Frequentie van de stemvork, golflengte van luchtgolven                                                                    | Frequentie, verandering door trilling               |
| 35             | Muziekslang, lucht, temperatuur                                                                    | Golflengte, draaisnelheid, frequentie                                                                                   | Omlooptijd, golflengte, laagste frequentie           |
| 36             | Mondharmonica, lipjes, microfoon, computer                                                          | Frequente en amplitude van trilling                                                                                     | Golfsnelheid, trillingstoestand in lipjes            |
| 37             | Bekken, microfoon, computer, stroboscoop                                                            | Frequentieverhouding, amplitude van tonen, snelheid van randbeweging                                                    | Frequentie, snelheid randbeweging                  |
| 38             | Gitaar, snaren, klankkast                                                                          | Staande golven, trillingstijd, golfsnelheid                                                                             | Golfsnelheid, afstand tot fret                      |
| 39             | Deurbel, klankstaven, veer, ijzeren pen                                                             | Voortplantingssnelheid van golven, energieomzetting, trillingstijd                                                        | Tijd dat knop ingedrukt moet worden, trillingstijd   |
| 40             | Deurbel, klankstaven, waterhoogte                                                                    | Waterhoogteverandering, snelheid van stijging                                                                           | Maximale stijgsnelheid                             |

* Hd10
** Hd10.txt
|  Opgave | Gegeven                            | Formules/Concepten                   | Gevraagd                      |
|----------------|------------------------------------|----------------------------------------------------|------------------------------------------------------------|
| 1              | Glazen staaf, zijden doek, papiersnipper | Lading, elektronen, aantrekkingskracht              | Aantal elektronen overgedragen, uitleg aantrekkingskracht  |
| 2              | Twee geladen metalen bollen         | Elektrisch veld, veldlijnen                         | Veldlijn door punt Q, R en P tekenen                      |
| 3              | Twee ladingen (1,0 C en -1,0 C)      | Coulombkracht                                       | Kracht tussen ladingen                                   |
| 4              | Deeltje (lading 1,6·10^-12 C, massa 3,2·10^-9 kg) | Elektrische veldsterkte, versnelling                | Versnelling van het deeltje, verklaring baan afwijking     |
| 5              | Vier ladingen in een vierhoek        | Elektrische veldsterkte, symmetrie                   | Elektrische veldsterkte in centrum, afstand tussen ladingen |
| 6              | Na+-ion, Pb2+-ion                    | Elektrisch veld, kracht, versnelling                | Veldsterkte, krachtvergelijking, versnelling van Pb2+       |
| 7              | Twee metalen bolletjes              | Coulombkracht, krachtverhouding                     | Lading proeflading, resulterende kracht                  |
| 8              | Metalen bolletje, nylon draad, geladen platen | Elektrische kracht, homogeen elektrisch veld         | Elektrische kracht, bewijs van homogeen veld               |
| 9              | Proeflading q, ladingen A en B        | Elektrische krachten, ladingen                      | Kracht ontbinden, verhouding tussen ladingen               |
| 10             | Protonen                            | Elektrische energie, versnelling                   | Totale spanning, snelheid van proton                      |
| 11             | Alfadeeltje, spanningsplaten         | Elektrische kracht, energieafname                   | Spanning over platen, beginsnelheid alfadeeltjes            |
| 12             | Elektronen, röntgenbuis              | Elektrische energie, vermogen                       | Snelheid van elektronen, aantal elektronen per seconde, koelwaterstroom |
| 13             | Elektron, metalen bol                | Elektrische energie, snelheid                       | Straal van de bol, kinetische energie, maximale snelheid   |
| 14             | Xenon-ion, ionenmotor, ruimtevaartsonde | Elektrische kracht, versnelling                     | Maximale verandering in kinetische energie, snelheidstoename, noodzaak voor elektroneninjectie |
| 15             | Protonen, water                      | Elektrische spanning, energieafname                 | Totale spanning, beginenergie, stopping power             |
| 16             | Protonen, lineaire versneller        | Wisselspanning, versnelling                         | Snelheid van proton, lengte van de buizen                  |
| 17             | Twee spoelen                         | Magnetisch veld, elektromagnetische interactie       | Richting van magnetische veldlijnen, sterkte van krachten   |
| 18             | Magneten, kompasnaald                | Magnetische veldlijnen                              | Richting van veldlijnen, horizontale uitlijning van kompasnaald |
| 19             | Spoel, kompas, stroomsterkte         | Magnetische veldsterkte                             | Hoek van kompasnaald, grootte van magnetisch veld           |
| 20             | Twee stroomdraden                    | Magnetisch veld rond stroomdraad                    | Richting van magnetisch veld, sterkte van magnetische inductie |
| 21             | Spoel, magneet, weegschaal                        | Wet van Ampère, Magnetische Inductie         | Stroomrichting, evenwichtsstand, massa-stroomdiagram |
| 22             | Magnetisch veld, geladen deeltjes                 | Lorentzkracht, rechterhandregel              | Richtingen van FL, B, I                   |
| 23             | Twee stroomdraden, magnetisch veld                 | Biot-Savartwet, Lorentzkracht                 | Richtingen van stroom, magnetisch veld, Lorentzkracht |
| 24             | Positief geladen deeltje, magnetisch veld          | Lorentzkracht, eenparige cirkelbeweging      | Richting van Lorentzkracht, magnetisch veld, arbeid door Lorentzkracht, straal van cirkelbaan |
| 25             | Twee koperen staven, spanningsbron, weegschaal    | Lorentzkracht, elektromagnetische interactie | Beweging van staaf PQ                      |
| 26             | Elektronenkanon, magnetisch veld, glazen bol       | Lorentzkracht, magnetische inductie          | Richting van magnetische inductie, magnetische inductie |
| 27             | Massaspectrometer, isotopen, ionen                 | Lorentzkracht, versnelling                   | Snelheid van ionen, afstand PQ, massa PQ |
| 28             | Aardmagnetisch veld, geladen deeltjes              | Lorentzkracht, spiraalbeweging               | Draai richting, spiraalbeweging, diameter spiraal |
| 29             | Rechthoekige spoel, krachtmeter, spanningsbron     | Lorentzkracht, magnetische inductie          | Stroomsterkte, magnetische inductie       |
| 30             | Cyclotron, protonen, elektrisch veld, magnetisch veld | Lorentzkracht, versnelling                   | Tijd om halve cirkelbaan, snelheid protonen |
| 31             | Elektromotor, spoel, magneet, gelijkspanningsbron  | Lorentzkracht, elektromotorwerking           | Richting van stroom, grafiek Lorentzkracht |
| 32             | Bolvormige magneet, batterij                       | Elektromagnetische inductie, Lorentzkracht   | Draairichting van magneet, omkering draairichting |
| 33             | Elektromotor, blok, weegschaal                     | Lorentzkracht, stroomsterkte                 | Grafiek m-I, invloed van stroomsterkte op massa |
| 34             | Elektromotor, wisselspanningsbron                  | Elektromotorwerking, wisselstroom            | Draairichting, werking bij wisselstroom   |
| 36             | Metalen ringen, magnetische velden                 | Magnetische flux, magnetische inductie       | Vergelijking magnetische flux             |
| 37             | Spoelen, magneet, stroommeter                      | Electromagnetische inductie, Faraday's wet   | Stroomsterkte, invloed van snelheid, massa |
| 38             | Inductiekookplaat, pan, spoel                      | Inductie, wisselend magnetisch veld          | Opwekken van wisselend magnetisch veld, inductiestroom |
| 39             | Magnetische schijf, spoel, lampje                  | Inductie, frequentie                         | Frequentie van knipperen, juiste verband   |
| 40             | Spoel, magnetisch veld, draaiende as               | Inductiespanning, elektromagnetische inductie | Flux door spoel, wisselspanning, grafiek   |
| 41             | Magneet, spoelen, computer                         | Faraday's wet, inductiespanning               | Aantal windingen, inductiespanning         |
| 42             | Large Hadron Collider (LHC), protonen              | Relativiteitstheorie, deeltjesversnelling    | Energie van protonen                       |

* Hd11
** Hd11.txt
