#+TITLE: NATUURKUNDE HAVO: DEFINITIES
#+STARTUP: hidestars
#+OPTIONS: ^:nil
# #+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-readtheorg.setup
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
# #+HTML_HEAD: <link rel="stylesheet" href="https://sandyuraz.com/styles/org.min.css">
#+OPTIONS: num:nil
#+options: num:nil


* Hd1
| **Term**                          | **Definitie**                                                                                                        |
| **Loop van lichtstraal**           | De baan die een lichtstraal volgt wanneer deze door een lens gaat.                                               |
| **Beeldvorming door lens**         | Het proces waarbij een lens lichtstralen buigt om een beeld te vormen.                                           |
| **Lineaire vergroting**            | De verhouding tussen de grootte van een beeld en de grootte van het object in een optisch systeem.               |
| **Lenzenformule**                  | Een formule die de relatie beschrijft tussen de brandpuntsafstand, de objectafstand en de beeldafstand van een lens. |
| **Sterkte van lens**               | De mate waarin een lens lichtstralen kan buigen, bepaald door de brekingsindex van het materiaal en de kromming van de lens. |
| **Fotonen**                        | Deeltjes waaruit licht bestaat, met eigenschappen van zowel golven als deeltjes.                                |
| **Interferentie van golf**          | Het fenomeen waarbij twee of meer lichtgolven samenkomen en elkaar versterken of verzwakken.                    |
| **Buigen van golf**                | Het verschijnsel waarbij een lichtgolf van richting verandert wanneer deze van het ene medium naar het andere gaat. |
| **Licht als golf**                 | Het concept dat licht zich gedraagt als een golf, met golflengte en frequentie.                                 |
| **Licht als deeltje**              | Het concept dat licht bestaat uit discrete deeltjes, fotonen, met energie en impuls.                            |
| **Emissie van licht**              | Het proces waarbij energie wordt uitgestraald in de vorm van licht.                                             |
| **Absorptie spectrum**             | Het spectrum van licht dat door een materiaal wordt geabsorbeerd.                                               |
| **Emissie spectrum**               | Het spectrum van licht dat wordt uitgezonden door een bron.                                                      |
| **Spectraalanalyse**               | Het proces van het analyseren van licht om informatie te verkrijgen over de samenstelling van de lichtbron.      |
| **Dopplereffect**                  | Het verschijnsel waarbij de frequentie van waargenomen golven verandert als gevolg van de relatieve beweging tussen de bron van de golven en de waarnemer. |
| **Rood-blauwverschuiving**         | Een verschuiving van de golflengte van licht naar het rood of blauw uiteinde van het spectrum als gevolg van respectievelijk een beweging van de lichtbron naar de waarnemer toe of van de waarnemer af. |



* Hd13



| **Term**                          | **Definitie**                                                                                                    |
|-----------------------------------|------------------------------------------------------------------------------------------------------------------|
| **Meetsysteem**                   | Een systeem dat gebruikt wordt om fysieke grootheden te meten en te registreren.                                |
| **Stuursysteem**                  | Een systeem dat verantwoordelijk is voor het aansturen en controleren van andere systemen of processen.          |
| **Regelsysteem**                  | Een systeem dat regels en voorschriften hanteert om een bepaald doel te bereiken of een proces te reguleren.     |
| **Analoog-digitaal signaal**      | Een signaal dat zowel continue (analoog) als discrete (digitaal) waarden kan aannemen.                           |
| **Sensoren**                      | Apparaten die fysieke of chemische grootheden omzetten naar elektrische signalen.                               |
| **Temperatuursensor**             | Een sensor die gebruikt wordt om de temperatuur te meten.                                                         |
| **Invoerelementen**               | Componenten die input leveren aan een systeem.                                                                   |
| **Uitvoerelementen**              | Componenten die output produceren als reactie op input van een systeem.                                          |
| **Geheugenspel**                  | Een spel waarin geheugen en cognitieve vaardigheden worden getest.                                               |
| **Pulsenteller**                  | Een apparaat dat pulsen telt.                                                                                    |
| **Comparator**                    | Een elektronisch circuit dat twee signalen vergelijkt en aangeeft of ze gelijk zijn, en zo niet, welke groter is. |
| **Invertor**                      | Een elektronische component die de ingangsspanning omkeert.                                                       |
| **OF-poort**                      | Een logische poort die een logische OF-operatie uitvoert op twee of meer ingangen.                              |
| **Binaire getallen**              | Getallen die worden uitgedrukt in het binaire stelsel, bestaande uit slechts twee cijfers: 0 en 1.               |
| **Analoog-digitaal omzetter**     | Een apparaat dat analoge signalen omzet in digitale vorm.                                                         |
| **Tientallig stelsel**            | Het getallenstelsel gebaseerd op het tientallig systeem, dat gebruikmaakt van tien cijfers (0 t/m 9).            |
| **Binair stelsel**                | Het getallenstelsel gebaseerd op het binaire systeem, dat gebruikmaakt van slechts twee cijfers (0 en 1).        |
| **Bits**                          | De kleinste eenheid van digitale informatie, met een waarde van 0 of 1.                                         |
| **Bytes**                         | Een eenheid van digitale informatie bestaande uit een aaneenschakeling van 8 bits.                              |
| **Sensorresolutie**               | De mate waarin een sensor in staat is om kleine veranderingen in de gemeten grootheid waar te nemen en te registreren. |
