#+TITLE: NATUURKUNDE VWO: VEELGESTELDE VRAGEN 2024-2025
#+STARTUP: hidestars
#+OPTIONS: ^:nil
# #+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-readtheorg.setup
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
# #+HTML_HEAD: <link rel="stylesheet" href="https://sandyuraz.com/styles/org.min.css">
#+OPTIONS: num:nil
#+options: num:nil


* Hd1
** Hd1.txt

| # | Vraag                                                                                   | Antwoord                                               |
|------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------|
| 1 | Hoe maak je een schatting van de gemiddelde snelheid uit een diagram van een willekeurige beweging? | Door de verplaatsing tussen twee tijdstippen te delen door de tijdsduur tussen die tijdstippen.                 |
| 2 | Hoe bepaal je de verplaatsing tussen twee tijdstippen met de oppervlaktemethode?                | Door het oppervlak onder de x-t grafiek tussen de twee tijdstippen te meten.                                    |
| 3 | Hoe bepaal je de versnelling op een tijdstip met een diagram?                                  | Door de steilheid van de raaklijn aan de v-t grafiek op dat specifieke tijdstip te meten.                         |
| 4 | Hoe bepaal je de gemiddelde versnelling tussen twee tijdstippen met de snijlijnmethode?          | Door de verandering in snelheid tussen de twee tijdstippen te delen door de tijdsduur tussen die tijdstippen.     |
| 5 | Wat is een tekstmodel in numerieke modellering?                                                | Een tekstmodel is een numeriek model waarin bewegingen worden beschreven met behulp van tekstuele formules en regels. |
| 6 | Wat is een grafisch model?                                                                     | Een grafisch model is een visuele weergave van beweging, vaak in de vorm van grafieken en diagrammen.            |
| 7 | Wat is een iteratief proces in een numeriek model?                                              | Een iteratief proces is een manier van berekenen waarbij herhaaldelijk stappen worden uitgevoerd om de nauwkeurigheid te verbeteren. |
| 8 | Wat zijn startwaarden in een numeriek model?                                                   | Startwaarden zijn de begininstellingen van grootheden zoals plaats en snelheid bij de start van het model.       |
| 9 | Wat is een stopconditie in een model?                                                           | Een stopconditie is een voorwaarde waaronder het model stopt met berekeningen, zoals het bereiken van een bepaalde snelheid. |
| 10 | Wat is een toestandsvariabele?                                                                  | Een toestandsvariabele beschrijft de toestand van een systeem op een bepaald tijdstip.                          |
| 11 | Wat is een hulpvariabele?                                                                      | Een hulpvariabele is een variabele die helpt bij het berekenen van andere variabelen binnen een model.           |
| 12 | Wat is een constante in een model?                                                               | Een constante is een waarde die tijdens de gehele simulatie niet verandert.                                       |
| 13 | Wat is een relatiepijl in een grafisch model?                                                   | Een relatiepijl toont de relatie tussen verschillende variabelen en hoe de ene variabele de andere beïnvloedt.  |
| 14 | Wat is een onafhankelijke variabele?                                                             | Een onafhankelijke variabele is de grootheid die invloed heeft op andere variabelen, zoals de tijd in veel modellen. |
| 15 | Hoe bepaal je de grootte van een kracht met behulp van de krachtenschaal?                       | Door de lengte van de krachtpijl te meten en deze te vergelijken met de krachtenschaal die aangeeft hoeveel Newton per eenheid van lengte staat. |
| 16 | Wat is de richting van de schuifwrijvingskracht?                                                | De richting van de schuifwrijvingskracht is altijd tegengesteld aan de bewegingsrichting van het voorwerp.       |
| 17 | Hoe werkt de rolweerstandskracht op een rollend voorwerp?                                        | De rolweerstandskracht werkt tegen de beweging van het rollende voorwerp en hangt af van de kracht waarmee het voorwerp tegen de ondergrond wordt gedrukt. |
| 18 | Wat is de luchtweerstandskracht?                                                                 | Luchtweerstandskracht is de kracht die werkt tegen een voorwerp dat door de lucht beweegt.                        |
| 19 | 1. Wat is het effect van een betere stroomlijn op de luchtweerstandskracht? | Een betere stroomlijn vermindert de luchtweerstandskracht. |
| 20 | 2. Waarom hebben wielrenners baat bij een lagere luchtdichtheid op grote hoogte? | De lagere luchtdichtheid vermindert de luchtweerstandskracht. |
| 21 | 3. Hoe kun je de rolweerstandskracht van een fiets verminderen? | Door de bandenspanning te verhogen en door de rolweerstand van de banden te verminderen. |
| 22 | 4. Wat is de eenheid van de luchtweerstandscoëfficiënt? | De luchtweerstandscoëfficiënt heeft geen eenheid. |
| 23 | 5. Wat beïnvloedt de luchtweerstandskracht bij een wielrenner? | De luchtweerstandskracht wordt beïnvloed door de snelheid, de dichtheid van de lucht, de luchtweerstandscoëfficiënt en het frontale oppervlak. |
| 24 | 6. Hoe kun je de veerconstante van een veer berekenen? | De veerconstante kan worden berekend door de kracht te delen door de uitrekking van de veer. |
| 25 | 7. Wat is de rol van de luchtweerstandscoëfficiënt in de luchtweerstandskrachtformule? | De luchtweerstandscoëfficiënt is een maat voor de stroomlijn en heeft geen eenheid. |
| 26 | 8. Wat gebeurt er met de remweg op een nat wegdek in vergelijking met een droog wegdek? | De remweg is langer op een nat wegdek omdat de schuifwrijvingscoëfficiënt lager is. |
| 27 | 9. Hoe bepaal je de resulterende kracht als twee krachten in dezelfde richting werken? | Tel de krachten bij elkaar op. |
| 28 | 10. Wat moet je doen als de werklijnen van twee krachten een hoek maken? | Gebruik de parallellogrammethode om de resulterende kracht te bepalen. |
| 29 | 11. Hoe bepaal je de grootte van de resulterende kracht als de krachten loodrecht op elkaar staan? | Gebruik de stelling van Pythagoras. |
| 30 | 12. Wat is de tangens van een hoek in een driehoek? | De tangens van een hoek is de verhouding van de lengtes van de overstaande en de aanliggende zijden van de driehoek. |
| 31 | 13. Wat moet je doen als je de resulterende kracht wilt bepalen met behulp van de parallellogrammethode? | Teken de krachten op schaal, bouw een parallellogram, en bepaal de resulterende kracht door de diagonaal van het parallellogram te tekenen. |
| 32 | 1. Hoe wordt de resulterende kracht in figuur .b berekend? | Door gebruik te maken van de parallellogrammethode. |
| 33 | 2. Wat is het effect van een steilere helling op de snelheid van een skiër? | Hoe steiler de helling, hoe sneller de skiër naar beneden gaat. |
| 34 | 3. Hoe kun je de zwaartekracht op een skiër ontbinden? | In twee componenten: een langs de helling en een loodrecht op de helling. |
| 35 | 4. Wat is het doel van het ontbinden van krachten in de omgekeerde parallellogrammethode? | Om de afzonderlijke spankrachten in de riemen te vinden. |
| 36 | 5. Hoe kan je de componenten van een kracht langs een werklijn bepalen? | Door te tekenen op schaal en de krachtenschaal te gebruiken. |
| 37 | 6. Hoe ontbind je een kracht in een horizontale en verticale component? | Door de kracht te schetsen en de componenten te tekenen volgens de hoek die de kracht maakt met de horizontaal. |
| 38 | 7. Hoe bereken je of een koffer niet naar beneden glijdt op een helling? | Vergelijk de maximale schuifwrijvingskracht met de component van de zwaartekracht evenwijdig aan de helling. |
| 39 | 8. Wat is de rol van de krachtenschaal bij het bepalen van de componenten van de zwaartekracht? | De krachtenschaal helpt om de grootte van de componenten op schaal te meten. |
| 40 | 9. Hoe verhoudt de grootte van de spankrachten zich tot de hoeken tussen de spankrachten? | De grootte van de spankrachten verandert met de hoeken tussen de spankrachten. |
| 41 | 10. Hoe kan je de derde kracht vinden die nodig is om evenwicht te bereiken als twee krachten bekend zijn? | Door een krachtentekening te maken en de resulterende kracht te construeren die de andere krachten in evenwicht houdt. |
| 42 | 11. Wanneer zijn drie krachten in evenwicht? | Als de werklijnen van de drie krachten door één punt gaan en de resulterende kracht nul is. |
| 43 | 12. Hoe bepaal je de grootte van de componenten van een kracht als de massa en de hellingshoek bekend zijn? | Gebruik de hellingshoek en massa om de componenten van de kracht te berekenen met behulp van goniometrische formules. |
| 44 | Wat is de kracht die door de zwaartekracht op de klimster werkt?                                        | De kracht die door de zwaartekracht op de klimster werkt is gericht naar beneden naar het zwaartepunt van de klimster. |
| 45 | Wat gebeurt er met de krachten op de klimster als deze niet beweegt?                                  | De krachten zijn in evenwicht en hun werklijnen gaan door één punt.     |
| 46 | Hoe bepaal je de krachten F1 en F2 op de klimster?                                                     | Ontbind de zwaartekracht in twee componenten en gebruik de werklijnen van de onbekende krachten. |
| 47 | Hoe kun je de spankracht en trekkracht bij een schommel bepalen?                                       | Teken eerst de werklijnen van de spankracht en trekkracht. Bepaal daarna de resulterende kracht en ontbind deze in componenten. |
| 48 | Wat is een andere manier om krachten op een schommel te bepalen?                                       | Begin met het tekenen van de resulterende kracht van de twee onbekende krachten en ontbind deze in de componenten. |
| 49 | Hoe verhoudt de spankracht zich tot de component van de zwaartekracht?                                | De spankracht is even groot als de component van de zwaartekracht maar werkt in de tegengestelde richting. |
| 50 | Wat gebeurt er met de resulterende kracht als een voorwerp met constante snelheid beweegt?             | De resulterende kracht is nul.                                          |
| 51 | Hoe bepaal je de massa van een blokje met een krachtmeter?                                              | Teken de krachten in evenwicht, gebruik de krachtmeter en pas de eerste wet van Newton toe. |
| 52 | Wat is de invloed van een hoek op de rolweerstandskracht?                                              | De rolweerstandskracht verandert afhankelijk van de hoek tussen de trekkracht en het horizontale vlak. |
| 53 | Hoe bepaal je de normaalkracht en schuifwrijvingskracht op een koffer op een helling?                   | Ontbind de zwaartekracht in componenten, teken de krachten en gebruik de krachten op schaal om de normaalkracht en schuifwrijvingskracht te berekenen. |
| 54 | Hoe werkt de eerste wet van Newton op een motorboot?                                                   | De resulterende kracht bepaalt de verandering in snelheid: geen resulterende kracht betekent constante snelheid of rust. |
| 55 | Wat moet je doen om de duwkracht van een bouwvakker te berekenen bij constante snelheid?                | Kijk alleen naar de krachten evenwijdig aan de helling: rolweerstandskracht, component van de zwaartekracht langs de helling en de duwkracht. |
| 56 | Hoe kun je de massa van een object bepalen als de krachten op een helling zijn gegeven?                 | Gebruik de krachten op schaal en de hoeken om de massa te berekenen door ontbinding en krachtenschaal toe te passen. |
| 57 | 1. Wat is de richting van de rolweerstandskracht op een kruiwagen die omhoog wordt geduwd op een helling? | Langs de helling omlaag. |
| 58 | 2. Wat geldt er voor de resulterende kracht op een kruiwagen die met constante snelheid omhoog beweegt? | De resulterende kracht is nul. |
| 59 | 3. Hoe wordt de schuifwrijvingskracht beïnvloed door de hoek van een helling? | De schuifwrijvingskracht is groter bij een kleinere hoek en kleiner bij een grotere hoek. |
| 60 | 4. Wat gebeurt er met de snelheid van een blokje als de schuifwrijvingskracht groter wordt dan de maximale waarde? | Het blokje zal naar beneden glijden. |
| 61 | 5. Hoe verandert de kracht die Peter op een glas uitoefent als hij het glas laat vallen? | De kracht die Peter op het glas uitoefent wordt vervangen door de zwaartekracht. |
| 62 | 6. Wat is het effect op de snelheid van een speelgoedtrein als de schuifwrijvingskracht kleiner is dan de maximale waarde? | De trein blijft met constante snelheid rijden. |
| 63 | 7. Wat kan je concluderen over de spankracht in de kabel van een boot die met constante snelheid omhoog beweegt? | De spankracht is gelijk aan de kracht die de helling uitoefent als de boot met constante snelheid naar beneden beweegt. |
| 64 | 8. Wat is de relatie tussen de massa van een object en de versnelling bij een constante kracht? | Hoe groter de massa, hoe kleiner de versnelling. |
| 65 | 9. Wat gebeurt er met de snelheid van een object als de resulterende kracht in dezelfde richting als de snelheid werkt? | De snelheid van het object neemt toe. |
| 66 | 10. Hoe verhoudt de luchtweerstandskracht zich tot de snelheid van een object tijdens een parachutesprong? | De luchtweerstandskracht is groter bij een hogere snelheid. |
| 67 | 11. Wat gebeurt er met de normaalkracht wanneer de snelheid van een parachutist constant is na het openen van de parachute? | De normaalkracht is gelijk aan de luchtweerstandskracht. |
| 68 | 12. Wat gebeurt er met de versnelling van een auto tijdens het remmen als de snelheid gelijkmatig afneemt? | De versnelling is constant en tegengesteld aan de snelheid. |
| 69 | 13. Wat is het effect van de schuifwrijvingskracht op een blokje dat over een helling beweegt? | De schuifwrijvingskracht werkt tegen de beweging en vermindert de versnelling van het blokje. |
| 70 | 14. Wat is het verband tussen de versnelling en de resulterende kracht volgens de tweede wet van Newton? | De versnelling is recht evenredig met de resulterende kracht. |
| 71 | 15. Wat gebeurt er met de luchtweerstand bij het opstijgen van een heteluchtballon? | De luchtweerstand neemt toe naarmate de hoogte toeneemt. |
| 72 | a. Hoe blijkt uit het diagram dat de luchtweerstandskracht kleiner is dan de zwaartekracht? | Dit blijkt uit het feit dat de luchtweerstandskracht op het diagram niet groot genoeg is om de zwaartekracht te compenseren.   |
| 73 | b. Toon aan dat de versnelling op tijd t gelijk is aan m.                               | Dit kan worden aangetoond door te laten zien dat de kracht die de versnelling veroorzaakt (door de zwaartekracht minus luchtweerstand) gelijk is aan m keer de versnelling. |
| 74 | c. Bereken de luchtweerstandskracht op tijd t.                                          | Deze kracht kan worden berekend door de massa van de basejumper en de versnelling te gebruiken, rekening houdend met de krachten in evenwicht. |
| 75 | d. Bereken de luchtweerstandscoëfficiënt als de parachute volledig is ontvouwen.         | Dit vereist informatie over de kracht van de luchtweerstand en de afmetingen van de parachute. De coëfficiënt kan worden berekend door de luchtweerstandskracht te delen door de product van de luchtsnelheid, de oppervlakte en een constante. |
| 76 | a. Wat kun je zeggen over de kracht die de bal op het hoofd uitoefent bij een kopbal?  | De kracht die de bal op het hoofd uitoefent is gelijk aan de kracht die het hoofd op de bal uitoefent, maar tegengesteld van richting. |
| 77 | b. Hoe bewijs je dat de krachten op de krachtmeters gelijk en tegengesteld zijn?        | Dit kan worden bewezen door te laten zien dat beide krachtmeters dezelfde kracht meten, ongeacht hun grootte. |
| 78 | a. Wat kun je zeggen over de aantrekkingskracht van de baksteen op de aarde?             | De aantrekkingskracht van de baksteen op de aarde is even groot als de zwaartekracht op de baksteen en tegengesteld aan de richting van de zwaartekracht. |
| 79 | b. Waarom merk je niets van de beweging van de aarde richting de baksteen?               | De massa van de aarde is veel groter dan die van de baksteen, waardoor de versnelling van de aarde veel kleiner is en niet merkbaar. |
| 80 | a. Vergelijk de massa van de baksteen op de maan met die op aarde.                        | De massa van de baksteen is gelijk op aarde en de maan. |
| 81 | b. Vergelijk de normaalkracht van de baksteen op de maan met die op aarde.                | De normaalkracht op de maan is kleiner dan op aarde vanwege de kleinere gravitatieversnelling op de maan. |
| 82 | c. Vergelijk het gewicht van de baksteen op de maan met dat op aarde.                    | Het gewicht van de baksteen op de maan is kleiner dan op aarde, omdat de gravitatieversnelling op de maan kleiner is. |
| 83 | a. Wat gebeurt er met je gewicht in een lift die naar boven versnelt?                    | Je gewicht op de weegschaal neemt toe omdat de normaalkracht groter is dan de zwaartekracht. |
| 84 | b. Wat gebeurt er met je gewicht in een lift die naar beneden versnelt?                  | Je gewicht op de weegschaal neemt af omdat de normaalkracht kleiner is dan de zwaartekracht. |
| 85 | a. Wat is de kracht die de grond op de baksteen uitoefent tijdens de val?               | De kracht die de grond op de baksteen uitoefent tijdens de val is groter dan de zwaartekracht op de baksteen. |
| 86 | b. Hoe verandert het gewicht van de baksteen tijdens het omhooggooien?                  | Het gewicht van de baksteen verandert afhankelijk van de versnelling van de lift. |
| 87 | c. Hoe verandert de massa van een baksteen tijdens het omhooggooien?                    | De massa van de baksteen verandert niet tijdens het omhooggooien; massa is constant. |
| 88 | d. Wat kun je zeggen over de krachten op Jurgen in een auto die versnelt?               | Tijdens versnellen is de kracht die de auto op Jurgen uitoefent (de normaalkracht) groter dan het gewicht van Jurgen. |
| 89 | a. Hoe verandert de krachten op Jurgen als de auto met constante snelheid rijdt?       | De krachten op Jurgen zijn in evenwicht: de rolweerstandskracht en de luchtweerstandskracht zijn gelijk aan de schuifwrijvingskracht. |
| 90 | b. Wat gebeurt er met de kracht die de startblok op de sprinter uitoefent?               | De kracht die het startblok op de sprinter uitoefent is maximaal tijdens de start en wordt constant als de snelheid constant is. |
| 91 | c. Waarom heeft Yuna gelijk dat sprinters met kunstbenen minder kracht hoeven te leveren?| Yuna heeft gelijk omdat kunstbenen mogelijk een andere krachtverhouding hebben, wat resulteert in een andere benodigde kracht voor dezelfde versnelling. |
| 92 | d. Wat is de relatie tussen gewicht en massa in een lift?                                | Gewicht is de kracht die een massa uitoefent onder invloed van zwaartekracht; in een lift is het gewicht gelijk aan de normaalkracht als de lift stil staat. |
| 93 | Wat bepaalt volgens de tweede wet van Newton de versnelling van een voorwerp? | De resulterende kracht en de massa van het voorwerp. |
| 94 | Hoe wordt de versnelling aangeduid in een algemeen bewegingsmodel? | Als een hulpvariabele. |
| 95 | Wat gebeurt er met de luchtweerstandskracht in een model als de snelheid toeneemt? | De luchtweerstandskracht neemt toe. |
| 96 | Wat moet je doen als de luchtweerstandskracht in een model geen constante waarde heeft? | Voeg een relatiepijl toe van de snelheid naar de luchtweerstandskracht en pas het model aan. |
| 97 | Hoe wordt de massa weergegeven in een grafisch model? | Als een constante. |
| 98 | Welke aanpassing is nodig voor het model van een skydiver met een birdmanpak? | Voeg de luchtweerstandscoëfficiënt, luchtdichtheid en frontale oppervlakte toe als constanten en verbind deze met de luchtweerstandskracht. |
| 99 | Hoe verander je het grafisch model als de frontale oppervlakte van de skydiver verandert? | Verander de frontale oppervlakte in een hulpvariabele en voeg een relatiepijl toe van de hoogte naar de frontale oppervlakte. |
| 100 | Wat moet je doen als je de luchtdichtheid afhankelijk wilt maken van de hoogte? | Verander de constante luchtdichtheid in een hulpvariabele en verbind de hoogte met de luchtdichtheid. |
| 101 | Hoe bepaal je de maximale snelheid van een skydiver met een birdmanpak volgens het model? | Vul de waarden van massa, frontale oppervlakte, luchtweerstandscoëfficiënt en luchtdichtheid in het model in. |
| 102 | Waarom kan de maximale kracht die Baumgartner ondervindt bij het openen van de parachute volgens het model veel groter zijn dan in werkelijkheid? | Omdat het model geen rekening houdt met de complexiteit van de werkelijke situatie en mogelijke overdrijvingen bevat. |
| 103 | Wat gebeurt er met de schuifwrijvingskracht als de waarde van \( k \) toeneemt? | Er stroomt meer water door de buis. |
| 104 | Wat is een belangrijke eis voor de Xstream attractie met betrekking tot het remmen op het horizontale stuk? | De persoon moet op tijd tot stilstand komen door de extra remkracht die door diep water wordt veroorzaakt. |
| 105 | Hoe breid je het tekstmodel uit als de extra remkracht evenredig is met het kwadraat van de snelheid? | Voeg een modelregel toe voor de extra remkracht, pas bestaande regels aan, voeg een startwaarde toe en voeg condities toe voor het waterniveau en de snelheid. |
| 106 | Hoe bepaal je de grootte van een kracht op een tekening op schaal?        | Door metingen te doen en de krachtenschaal te gebruiken.                                                                                                                                 |
| 107 | Welke methoden gebruik je om een kracht te berekenen als er een hoek zichtbaar is? | De stelling van Pythagoras, sinus, cosinus of tangens.                                                                                                                                   |
| 108 | Hoe ontbind je een kracht in twee krachten met behulp van de parallellogrammethode? | Door de werklijnen van de twee krachten te kennen en de krachten te tekenen in een parallellogram.                                                                                       |
| 109 | Hoe staan de werklijnen van krachten in evenwicht als een voorwerp op het punt staat te bewegen? | De werklijnen staan loodrecht op elkaar en de mogelijke bewegingsrichting.                                                                                                                 |
| 110 | Wat is het verschil in werklijnen bij het ontbinden van een kracht op een helling? | Eén werklijn is evenwijdig aan de helling en de andere staat loodrecht op de helling.                                                                                                     |
| 111 | Wanneer zijn krachten in evenwicht bij twee krachten?                    | Als de krachten gelijk zijn en in tegengestelde richting werken.                                                                                                                           |
| 112 | Hoe bepaal je de derde kracht in een driekrachtenevenwicht als twee krachten bekend zijn? | Door de resulterende kracht te construeren en deze vervolgens tegengesteld te maken aan de derde kracht.                                                                                   |
| 113 | Wat moet je doen als je slechts één kracht kent in een driekrachtenevenwicht? | Ontbind de bekende kracht in de richting van de werklijnen en construeer de tegengestelde krachten van de componenten.                                                                      |
| 114 | Wat zegt de eerste wet van Newton?                                        | Er werkt geen resulterende kracht op een voorwerp als het in rust is of met constante snelheid beweegt.                                                                                     |
| 115 | Wat geeft de tweede wet van Newton aan?                                   | Het verband tussen de resulterende kracht, massa en versnelling van een voorwerp.                                                                                                          |
| 116 | Wat is de derde wet van Newton?                                           | Elke kracht behoort tot een krachtenpaar; beide krachten zijn even groot maar in tegengestelde richting.                                                                                  |
| 117 | Wat is het gewicht van een voorwerp?                                      | De kracht van dat voorwerp op een ondersteunend vlak, touw, of veer.                                                                                                                        |
| 118 | Wat gebeurt er als een voorwerp alleen de zwaartekracht ondervindt?       | Het voorwerp is gewichtloos.                                                                                                                                                                 |
| 119 | Hoe werkt een modelleerprogramma voor het berekenen van beweging?         | Het programma berekent eerst de resulterende kracht en vervolgens de versnelling met de tweede wet van Newton.                                                                             |
| 120 | Wat moet je doen om te voorkomen dat een hijskabel breekt bij het optrekken? | De kracht die de motoren via de wielen uitoefenen mag maximaal een bepaalde fractie van het gewicht van de auto zijn, en moet gecontroleerd worden om slip te voorkomen.                    |
| 121 | Hoe bepaal je de spankracht in een hijskabel?                            | Door een constructie te maken op basis van de gegeven figuren en gegevens.                                                                                                                  |
| 122 | Wat moet je doen om te bepalen of de vuistregel voor kracht op een zoutvlakte geldt? | Vergelijk de voortstuwende kracht met de vuistregel die stelt dat deze maximaal een bepaalde fractie van het gewicht van de auto mag zijn.                                                |
| 123 | Hoe bepaal je de maximale kracht waarmee gordels een bestuurder kunnen tegenhouden? | Door gebruik te maken van de krachtenschaal en relevante gegevens uit te rekenen.                                                                                                          |
| 124 | Wat is de rolweerstandskracht?                                            | De kracht die de voortgang van een voertuig tegenhoudt door de weerstand tussen de banden en het wegoppervlak.                                                                             |
| 125 | Hoe hangt de rolweerstandskracht af van de omstandigheden?                | Het hangt af van factoren zoals het gewicht van het voertuig en de aard van het wegoppervlak.                                                                                            |
| 126 | Wat beschrijven de vier algemene eigenschappen van een kracht?             | De grootte, richting, aangrijpingspunt en de werklijn.                                                                                                                                   |
| 127| Hoe wordt de luchtweerstandskracht vereenvoudigd in berekeningen?         | Tot F = kv, waarbij k een constante is en v de snelheid.                                                                                                                                  |







* Hd4
** Hd4.txt
|  # | Vraag                                                                                                                          | Antwoord                                                                                                                                                                                                                                     |
|----+--------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|  1 | Wat is een algemeen bewegingsmodel?                                                                                            | Een numeriek model dat de beweging beschrijft onder invloed van krachten.                                                                                                                                                                    |
|  2 | Noem twee soorten eigenschappen van materialen die bij het ontwerp van een auto worden bekeken.                                | Chemische eigenschappen en fysische eigenschappen.                                                                                                                                                                                           |
|  3 | Wat is een chemische eigenschap?                                                                                               | Eigenschappen die verband houden met processen waarbij nieuwe stoffen ontstaan, zoals roesten en verbranden.                                                                                                                                 |
|  4 | Wat is een fysische eigenschap?                                                                                                | Eigenschappen die betrekking hebben op processen waarbij geen nieuwe stoffen ontstaan, zoals smelten en bevriezen.                                                                                                                           |
|  5 | Wat is het verschil tussen temperatuur en warmte?                                                                              | Temperatuur is een maat voor de gemiddelde kinetische energie van moleculen; warmte is de energie die van het ene naar het andere systeem stroomt.                                                                                           |
|  6 | Wat gebeurt er met de temperatuur van een stof als je het verwarmt?                                                            | De gemiddelde kinetische energie van de moleculen neemt toe, waardoor de temperatuur stijgt.                                                                                                                                                 |
|  7 | Wat is de inwendige energie van een stof?                                                                                      | De som van de kinetische energie en potentiële energie van de moleculen in de stof.                                                                                                                                                          |
|  8 | Noem de drie fasen waarin een stof kan voorkomen.                                                                              | Vaste fase, vloeibare fase, gasvormige fase.                                                                                                                                                                                                 |
|  9 | Wat gebeurt er bij een faseovergang van vast naar vloeibaar?                                                                   | Moleculen bewegen meer en de aantrekkende krachten tussen moleculen verminderen.                                                                                                                                                             |
| 10 | Wat is rijpen?                                                                                                                 | De overgang van de gasvormige fase direct naar de vaste fase zonder vloeibaar te worden.                                                                                                                                                     |
| 11 | Wat is het absolute nulpunt?                                                                                                   | De temperatuur waarbij de kinetische energie van moleculen nul is, oftewel 0 Kelvin.                                                                                                                                                         |
| 12 | Hoe verhoudt de temperatuur in Celsius zich tot Kelvin?                                                                        | 0 Celsius is gelijk aan 273,15 Kelvin.                                                                                                                                                                                                       |
| 13 | Hoe kun je de snelheid van verdamping van een vloeistof verhogen?                                                              | Door de temperatuur te verhogen of het oppervlak van de vloeistof te vergroten.                                                                                                                                                              |
| 14 | Wat gebeurt er met de dichtheid van water als je het verwarmt?                                                                 | De dichtheid neemt af omdat het volume van het water toeneemt.                                                                                                                                                                               |
| 15 | Waarom kun je niet op elke plaats ter wereld krimpverbindingen toepassen?                                                      | Omdat de temperatuurverschillen ter plaatse kunnen variëren, waardoor de mate van krimp kan verschillen.                                                                                                                                     |
| 16 | Wat gebeurt er met de gemiddelde kinetische energie van een stof als de temperatuur daalt?                                     | De gemiddelde kinetische energie neemt af.                                                                                                                                                                                                   |
| 17 | Hoe bereken je het temperatuurverschil in Kelvin als je het in Celsius hebt?                                                   | Het temperatuurverschil in Kelvin is gelijk aan het temperatuurverschil in Celsius.                                                                                                                                                          |
| 18 | Wat gebeurt er met het kaarsvet als vast kaarsvet met een hogere temperatuur aan gesmolten kaarsvet wordt toegevoegd?          | Het vaste kaarsvet smelt.                                                                                                                                                                                                                    |
| 19 | Waarom zijn de krachten tussen moleculen in waterdamp veel kleiner dan in vloeibaar water?                                     | Omdat waterdamp een gas is, zijn de moleculen verder uit elkaar en bewegen ze sneller, wat resulteert in kleinere krachten tussen de moleculen.                                                                                              |
| 20 | Wat gebeurt er met de temperatuur van kaarsvet na 10 minuten als het gesmolten kaarsvet toevoegt?                              | De temperatuur van het kaarsvet neemt toe.                                                                                                                                                                                                   |
| 21 | Waarom is een koelelement van aluminium gemaakt met veel ribben en geen massief blok?                                          | De ribben vergroten het oppervlak, waardoor het koelvermogen toeneemt door een groter contactoppervlak met de lucht.                                                                                                                         |
| 22 | Waarom is aluminium gekozen voor het koelelement in plaats van ijzer?                                                          | Aluminium heeft een hogere thermische geleidingscoëfficiënt dan ijzer, waardoor het beter warmte kan verspreiden.                                                                                                                            |
| 23 | Waarom is een ventilator nodig bij het koelelement?                                                                            | De ventilator blaast warme lucht weg van het koelelement, waardoor de warmteafvoer efficiënter wordt.                                                                                                                                        |
| 24 | Hoe wordt warmte overgedragen van stoffen met een hoge temperatuur naar stoffen met een lage temperatuur?                      | Via warmtetransport.                                                                                                                                                                                                                         |
| 25 | Wat is het verschil tussen warmtegeleiding, warmtestroming en warmtestraling?                                                  | Warmtegeleiding is het direct overdragen van warmte via een materiaal, warmtestroming is het verplaatsen van warme vloeistoffen of gassen, en warmtestraling is het overdragen van warmte via elektromagnetische straling.                   |
| 26 | Waarom kun je een metalen lepel niet zonder handschoenen vasthouden in een pan met hete soep?                                  | Omdat metaal een goede warmtegeleider is en de warmte snel naar je handen geleid wordt.                                                                                                                                                      |
| 27 | Wat gebeurt er met de kinetische energie van moleculen tijdens warmtestroming?                                                 | De kinetische energie neemt toe in de verwarmde gebieden.                                                                                                                                                                                    |
| 28 | Hoe beïnvloedt de thermische geleidbaarheid de snelheid van warmtestroom?                                                      | Hoe groter de thermische geleidbaarheid, hoe sneller de warmtestroom door het materiaal gaat.                                                                                                                                                |
| 29 | Wat is de rol van de luchtlagen tussen de glasplaten in dubbelglas?                                                            | De luchtlagen fungeren als isolatoren en verminderen de warmtestroom.                                                                                                                                                                        |
| 30 | Waarom is een houten lepel een slechte warmtegeleider vergeleken met een metalen lepel?                                        | Omdat hout een isolator is en warmte minder goed doorlaat dan metaal.                                                                                                                                                                        |
| 31 | Wat gebeurt er met de temperatuur van een materiaal als het wordt blootgesteld aan warmtestraling?                             | De temperatuur van het materiaal stijgt door de geabsorbeerde warmte.                                                                                                                                                                        |
| 32 | Waarom moet je bij een reactiebuiskoker met water aan de onderkant met een houten knijper vasthouden?                          | Omdat de onderkant verwarmd wordt en het glas heet kan worden, waardoor je je handen kunt verbranden.                                                                                                                                        |
| 33 | Hoe draagt een deken bij aan het behoud van lichaamswarmte?                                                                    | Het deken vermindert warmteverlies door het isoleren van de lichaamswarmte en voorkomt dat warmte ontsnapt door warmtegeleiding, warmtestroming en warmtestraling.                                                                           |
| 34 | Welke vorm van warmtetransport vindt plaats in zand en hout?                                                                   | Warmtegeleiding.                                                                                                                                                                                                                             |
| 35 | Waarom krijgt zand een hogere temperatuur dan hout?                                                                            | Zand heeft een hogere soortelijke warmte dan hout.                                                                                                                                                                                           |
