#+TITLE: NATUURKUNDE VWO: DEFINITIES
#+STARTUP: hidestars
#+OPTIONS: ^:nil
# #+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-readtheorg.setup
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
# #+HTML_HEAD: <link rel="stylesheet" href="https://sandyuraz.com/styles/org.min.css">
#+OPTIONS: num:nil
#+options: num:nil

* Hd1

| **Term**                        | **Definitie**                                                                                                   |
| **Elektromagnetische inductie**  | Het proces waarbij een veranderend magnetisch veld een elektrische stroom opwekt in een nabijgelegen geleider.    |
| **Inductiespanning**             | De spanning die wordt opgewekt in een geleider als gevolg van elektromagnetische inductie.                        |
| **Flux**                         | De hoeveelheid veldlijnen die door een gegeven oppervlak gaan, vaak gebruikt om magnetische of elektrische velden te kwantificeren. |
| **Fluxverandering**             | De verandering in de hoeveelheid veldlijnen die door een oppervlak gaan, wat resulteert in een geïnduceerde spanning in nabijgelegen geleiders. |
| **Microfoon**                    | Een apparaat dat geluid omzet in een elektrisch signaal door de vibraties van geluidsgolven te registreren.        |
| **Dynamo**                       | Een apparaat dat mechanische energie omzet in elektrische energie door magnetische inductie.                       |



* Hd11



| **Term**                          | **Definitie**                                                                                                         |
|-----------------------------------|---------------------------------------------------------------------------------------------------------------------|
| **Medische beeld**                | Een visuele representatie verkregen door medische beeldvormingstechnieken om interne structuren van het menselijk lichaam te visualiseren. |
| **Echografie**                    | Een medische beeldvormingstechniek die geluidsgolven gebruikt om interne structuren van het lichaam in real-time weer te geven. |
| **MRI**                           | Een medische beeldvormingstechniek die magnetische velden en radiogolven gebruikt om gedetailleerde beelden van de interne structuren van het lichaam te produceren. |
| **Röntgenfoto**                   | Een beeld verkregen door röntgenstraling door het lichaam te laten gaan en de absorptie ervan door verschillende weefsels vast te leggen. |
| **Halveringsdikte**               | De dikte van een materiaal die nodig is om de intensiteit van straling met de helft te verminderen.                    |
| **Doorlichting**                 | Een techniek waarbij röntgenstraling door het lichaam wordt gestuurd om interne structuren te visualiseren, zoals bij screeningsonderzoeken. |
| **CT-scan**                       | Een computertomografiebeeld dat wordt verkregen door röntgenstraling te gebruiken om dwarsdoorsneden van het lichaam te maken, die vervolgens worden samengevoegd tot een 3D-beeld. |
| **Strooistraling**                | Straling die wordt verstrooid wanneer het door een medium gaat, wat kan leiden tot verspreiding van de straling buiten het beoogde gebied. |
| **Stralingsbronnen**              | Materialen of apparaten die ioniserende straling produceren, zoals röntgenbuizen of radioactieve isotopen.             |
| **Atoombouw**                     | De structuur van atomen, inclusief hun samenstelling van protonen, neutronen en elektronen.                           |
| **Kernstraling**                 | Straling afkomstig van de kern van een atoom, inclusief alfa-, bèta- en gammastraling.                                |
| **Kernreacties**                  | Processen waarbij de kernen van atomen worden veranderd, zoals radioactief verval of kernfusie.                        |
| **Drachtvermogen**                | Het vermogen van straling om door materialen of weefsels te reizen zonder te worden geabsorbeerd.                      |
| **Doordringend vermogen**         | Het vermogen van straling om door materialen of weefsels te reizen voordat het wordt geabsorbeerd.                     |
| **Scintigrafie**                  | Een medische beeldvormingstechniek die gebruikmaakt van radioactieve tracers om de functie van organen en weefsels te beoordelen. |
| **Tracers**                       | Radioactieve stoffen die worden geïnjecteerd in het lichaam om de circulatie, absorptie, metabolisme en uitscheiding van verschillende stoffen te volgen. |
| **PET-scan**                      | Een medische beeldvormingstechniek die positronemissietomografie gebruikt om metabole processen in het lichaam in kaart te brengen. |
| **Radioactiviteit**               | Het proces waarbij instabiele atomen radioactieve straling uitzenden bij het ondergaan van verval.                    |
| **Halveringstijd**                | De tijd die nodig is voor de helft van de radioactieve kernen in een monster om te vervallen tot een stabielere toestand. |
| **Activiteit**                    | De snelheid waarmee een radioactieve bron kernen vervalt, gemeten in becquerel (Bq) of curie (Ci).                     |
| **Risico's van ioniserende straling** | Potentiële gevaren voor de gezondheid die gepaard gaan met blootstelling aan ioniserende straling, zoals weefselschade en het verhoogde risico op kanker. |
| **Bestralingsbesmetting**          | Blootstelling aan radioactieve materialen die zich aan het lichaam hechten, wat kan leiden tot interne stralingsblootstelling. |
| **Stralingsdosis**                | De hoeveelheid energie die door straling aan een object wordt overgedragen, meestal gemeten in gray (Gy) of rad.      |
| **Equivalente dosis**             | Een maat voor de biologische effecten van straling, aangepast voor verschillende soorten straling en weefsels, gemeten in sievert (Sv). |
| **Stralingsnormen**               | Richtlijnen en voorschriften die zijn vastgesteld om de blootstelling aan ioniserende straling te beperken en de volksgezondheid te beschermen. |
| **Radiotherapie**                 | Een medische behandeling waarbij ioniserende straling wordt gebruikt om kankerweefsel te vernietigen of te beheersen. |
| **Dosismeter**                    | Een apparaat dat wordt gebruikt om de blootstelling aan ioniserende straling te meten, zoals gedragen door werknemers in stralingsgevoelige omgevingen. |
| **Geiger-Müller teller**           | Een instrument dat wordt gebruikt om ioniserende straling te detecteren en te meten, vaak gebruikt in stralingsbewaking en -detectie. |



* Hd12



| **Term**                          | **Definitie**                                                                                                         |
|-----------------------------------|---------------------------------------------------------------------------------------------------------------------|
| **Straling van sterren**           | Elektromagnetische energie die wordt uitgezonden door sterren, variërend van radiofrequenties tot gammastraling.    |
| **Electromagnetisch spectrum**     | Het volledige scala aan elektromagnetische golflengten, variërend van radiofrequenties tot gammastraling.           |
| **Kwadratenwet**                  | Een natuurkundige wet die stelt dat de intensiteit van straling omgekeerd evenredig is met het kwadraat van de afstand tot de stralingsbron. |
| **Parsec**                        | Een eenheid van afstand in de astronomie, ongeveer gelijk aan 3,26 lichtjaar.                                        |
| **Wet van Wien**                  | Een wet die de relatie beschrijft tussen de temperatuur van een zwart lichaam en de golflengte waarbij het maximale vermogen wordt uitgestraald. |
| **Wet van Stefan-Boltzmann**      | Een natuurkundige wet die de totale stralingsenergie van een zwart lichaam relateert aan zijn temperatuur.           |
| **Sterren classificeren**         | Het proces van het categoriseren van sterren op basis van hun spectraalkenmerken, temperatuur, grootte, en andere eigenschappen. |
| **Evolutie van sterren**          | Het proces waarbij sterren veranderingen ondergaan in hun levenscyclus, van de vorming tot het einde als witte dwergen, neutronensterren of supernova's. |
| **Levenscyclus zon**              | De verschillende stadia die de zon doorloopt tijdens zijn evolutie, van de geboorte tot het einde als een witte dwerg. |
| **Hertzsprung-Russell diagram**   | Een diagram dat de relatie toont tussen de helderheid en de temperatuur (kleur) van sterren, vaak gebruikt om de evolutie van sterren te bestuderen. |
| **Spectraalanalyse**              | Het proces van het bestuderen van het spectrum van elektromagnetische straling van een object, vaak gebruikt om de samenstelling, temperatuur en beweging van hemellichamen te achterhalen. |
| **Emissiespectrum**               | Een spectrum van elektromagnetische straling waarbij bepaalde golflengten worden uitgezonden door een bron.         |
| **Lijnenspectrum**                | Een spectrum bestaande uit discrete spectrale lijnen, typisch geassocieerd met atomen of moleculen die elektromagnetische straling absorberen of uitzenden. |
| **Absorptiespectrum**             | Een spectrum van elektromagnetische straling waarbij bepaalde golflengten worden geabsorbeerd door een materiaal, resulterend in donkere lijnen in het spectrum. |
| **Fotonen**                       | Elementaire deeltjes die elektromagnetische straling dragen, inclusief licht.                                       |
| **Atoommodel van Bohr**            | Een model dat de elektronen in een atoom beschrijft als zich in discrete energieniveaus rond de kern bewegend.       |
| **Energieniveaus bij een atoom**   | De discrete niveaus van energie waarop elektronen zich kunnen bevinden in een atoom, zoals voorspeld door het kwantummechanische model van Bohr. |
| **Beweging van sterren**           | De beweging van sterren door de ruimte, inclusief hun rotatie om hun as en hun beweging door ons sterrenstelsel.   |
| **Optische telescoop**            | Een instrument dat gebruikmaakt van lenzen of spiegels om zichtbaar licht te verzamelen en beelden van hemellichamen te produceren. |
| **Dopplereffect**                 | Het verschijnsel waarbij de frequentie van golven verandert als de bron of de ontvanger van de golven relatief beweegt, vaak gebruikt om de snelheid van sterren en andere hemellichamen te meten. |
| **Roodverschuiving**              | Het verschijnsel waarbij de golflengten van elektromagnetische straling langer worden als gevolg van de uitdijing van het universum, vaak waargenomen bij verre sterrenstelsels. |
| **Radiotelescoop**                | Een instrument dat gebruikt wordt om radiogolven van hemellichamen te detecteren en te analyseren.                   |
| **Ruimtetelescoop**               | Een telescoop die zich buiten de atmosfeer van de aarde bevindt om de effecten van atmosferische storingen te vermijden en een duidelijker zicht op het heelal te bieden. |




* Hd13


Hier is de informatie uit Hoofdstuk 13: Quantum in tabellarische vorm:

| **Term**                              | **Definitie**                                                                                                         |
|---------------------------------------|---------------------------------------------------------------------------------------------------------------------|
| **Modellen van licht**                | Diverse theoretische frameworks die worden gebruikt om het gedrag van licht te beschrijven, zoals golven en deeltjesmodellen. |
| **Vlakke golf**                       | Een ideale representatie van licht als een continue golffront met gelijke amplitude en fase.                       |
| **Cirkelvormige golf**                | Een golffront dat zich uitbreidt in alle richtingen vanuit een puntbron, waarbij elke punt op het front gelijkwaardige sferische golven genereert. |
| **Buiging bij een spleet**            | Het fenomeen waarbij lichtgolven zich verspreiden en interfereren wanneer ze door een enkele opening gaan.         |
| **Buiging bij een dubbele spleet**    | Het verschijnsel waarbij lichtgolven interfereren na doorgang door twee smalle openingen, resulterend in een interferentiepatroon. |
| **Interferentie van licht**           | De samenvoeging en interferentie van lichtgolven die leiden tot versterking of verzwakking van het totale lichtpatroon. |
| **Licht als deeltje**                 | Het concept dat licht soms gedrag vertoont dat kenmerkend is voor deeltjes, zoals in het foto-elektrisch effect.    |
| **Licht golfmodel**                   | Een model dat licht beschrijft als golven die zich door de ruimte verspreiden en interfereren met elkaar.          |
| **Foto-elektrisch effect**             | Het verschijnsel waarbij lichtenergie overdraagt aan elektronen in een materiaal, waardoor ze worden uitgestoten.  |
| **Uittree energie bij foto-elektrisch effect** | De minimale energie die een foton moet hebben om een elektron uit een materiaal te bevrijden in het foto-elektrisch effect. |
| **Grensgolflengte bij foto-elektrisch effect** | De golflengte van licht die nodig is om het foto-elektrisch effect te produceren voor een specifiek materiaal.       |
| **Golf-deeltje dualiteit**            | Het concept dat de aard van licht en andere deeltjes zowel golfeigenschappen als deeltjeseigenschappen kan omvatten, afhankelijk van de observatiemethode. |
| **Golfeigenschappen**                | Kenmerken van licht of andere deeltjes die overeenkomen met golfverschijnselen, zoals interferentie en diffractie.   |
| **Dubbel spleetexperiment met elektronen** | Een experiment waarbij elektronen worden uitgezonden door twee smalle spleten, wat resulteert in een interferentiepatroon dat golfeigenschappen van elektronen aantoont. |
| **De Broglie golflengte**              | De golflengte geassocieerd met een deeltje, zoals voorgesteld door de golf-deeltje dualiteit van de Broglie-relatie. |
| **Elektronenmicroscoop**               | Een instrument dat gebruikmaakt van elektronen in plaats van fotonen om structuren op nanometerschaal te visualiseren. |
| **Opgesloten kwantumdeeltjes**        | Deeltjes die zich in een beperkte ruimte bevinden en worden onderworpen aan kwantummechanische effecten zoals energieniveaus en probabilistische locatie. |
| **Toestand functies**                | Wiskundige functies die de kwantumtoestand van een deeltje in een systeem beschrijven.                              |
| **Deeltje in een doos**               | Een eenvoudig kwantummechanisch model dat een deeltje beschrijft dat is opgesloten in een oneindig diepe potentiaalput. |
| **Elektron in het waterstofatoom**    | Een model dat het gedrag van een enkel elektron in een waterstofatoom beschrijft, waarbij orbitale eigenschappen worden bepaald door kwantummechanica. |
| **Onbepaaldheidsrelatie**            | Het principe dat er een fundamentele beperking is aan hoe nauwkeurig we gelijktijdig de positie en impuls van een deeltje kunnen meten. |
| **Plaats en impuls in een deeltjesmodel** | De mate van onzekerheid in het bepalen van zowel de positie als de impuls van een deeltje binnen de context van de kwantummechanica. |
| **Onbepaaldheidsrelatie van Heisenberg** | De kwantummechanische onbepaaldheidsrelatie die stelt dat het onmogelijk is om gelijktijdig de exacte positie en impuls van een deeltje te meten. |
| **Plaats en impuls in een golfmodel** | De mate van onzekerheid in het bepalen van zowel de positie als de impuls van een golf binnen de context van golffenomenen. |
| **Toepassingen van de onbepaaldheidsrelatie** | Diverse toepassingen in de kwantummechanica waarin de onbepaaldheidsrelatie cruciaal is voor het begrijpen van de aard van deeltjes en golven. |
| **Tunnel effect**                    | Het kwantummechanische fenomeen waarbij een deeltje door een potentiaalbarrière kan 'tunnelen', zelfs als het energie tekortkomt om de barrière klassiek te overwinnen. |
| **Tunneleffect bij alfaverval**      | Het proces waarbij een alfadeeltje door een potentiaalbarrière 'tunnelt', wat resulteert in radioactief verval.       |
| **Tunneleffect bij kernfusie**       | Het fenomeen waarbij kernen dichtbij genoeg komen om de elektrostatische afstoting te overwinnen en kernfusie plaatsvindt via tunneling. |
| **Scanning tunneling microscope**    | Een instrument dat gebruikmaakt van het tunneleffect van elektronen om atomaire oppervlakken met ongekende resolutie te visualiseren. |




* Hd16




| **Term**                                | **Definitie**                                                                                                         |
|-----------------------------------------|---------------------------------------------------------------------------------------------------------------------|
| **Wet van behoud van impuls**           | De wet die stelt dat de totale impuls van een geïsoleerd systeem constant blijft in de tijd.                        |
| **Annihilatie**                         | Het proces waarbij een deeltje en zijn antideeltje elkaar ontmoeten en volledig omgezet worden in energie.           |
| **Atoommodel van Rutherford**            | Een atoommodel waarin een kleine, dichte positief geladen kern wordt omringd door negatief geladen elektronen.      |
| **Atoommodel van Thomson**              | Een atoommodel waarin elektronen gelijkmatig verdeeld zijn in een positief geladen bolvormige massa.                |
| **Atoomnummer**                         | Het aantal protonen in de kern van een atoom, wat het atoom zijn identiteit geeft in het periodiek systeem.           |
| **Barionen**                            | Deeltjes bestaande uit drie quarks, zoals protonen en neutronen.                                                     |
| **Behoud van leptongetal**               | Het principe dat het totale leptongetal van een systeem behouden blijft in de loop van tijd in bepaalde fysische processen. |
| **Cowan-Raines neutrino experiment**     | Een experiment waarbij Frederick Reines en Clyde Cowan voor het eerst neutrino's detecteerden in 1956.              |
| **Deeltjes botsing**                    | Een gebeurtenis waarbij twee of meer deeltjes fysiek tegen elkaar botsen.                                           |
| **Deeltjes detecteren**                 | Het proces van het identificeren en meten van subatomaire deeltjes.                                                   |
| **Deeltjes versnellen**                 | Het proces van het verhogen van de snelheid van subatomaire deeltjes, vaak gebruikt in deeltjesversnellers.           |
| **Deeltjesversneller**                  | Een apparaat dat de snelheid van geladen deeltjes verhoogt voor onderzoek naar de fundamenten van de materie.         |
| **Dradenkamer**                         | Een type detectiesysteem dat gebruikmaakt van draden om de paden van geladen deeltjes te registreren.                |
| **Drie soorten neutrino's**              | De drie bekende soorten neutrino's: elektron-neutrino, muon-neutrino en tau-neutrino.                                |
| **Elementaire deeltjes generaties**     | De verschillende generaties van elementaire deeltjes in het standaardmodel van de deeltjesfysica.                    |
| **Elementaire deeltjes**                | De fundamentele deeltjes waaruit alle materie is opgebouwd, inclusief quarks, leptonen en bosonen.                   |
| **Formule van Einstein**                | De beroemde formule E=mc², die de equivalente relatie tussen energie (E) en massa (m) beschrijft.                  |
| **Higgsboson**                          | Een elementair deeltje dat verantwoordelijk wordt geacht voor het geven van massa aan andere deeltjes via het Higgsmechanisme. |
| **Impuls**                              | De hoeveelheid beweging van een object, gelijk aan de massa vermenigvuldigd met de snelheid.                        |
| **Kernenergie**                         | Energie die vrijkomt bij kernreacties, zoals die in kerncentrales.                                                    |
| **Kernreacties**                        | Reacties waarbij de kernen van atomen veranderen, resulterend in veranderingen in de aard van de betrokken atomen.    |
| **Kracht en uitwisseling van deeltjes** | Het proces waarbij deeltjes met elkaar interageren door de uitwisseling van krachten, zoals elektromagnetische, zwakke en sterke kernkrachten. |
| **Leptonen**                            | Elementaire deeltjes, zoals elektronen en neutrino's, die niet onderhevig zijn aan de sterke kernkracht.            |
| **Massadefect**                         | Het verschil in massa tussen de massa van een samengesteld deeltje en de som van de massa's van zijn afzonderlijke componenten. |
| **Massagetal**                          | Het totale aantal protonen en neutronen in de kern van een atoom.                                                     |
| **Mesonen**                             | Quarkcombinaties bestaande uit een quark en een antiquark.                                                            |
| **Muon**                                | Een subatomair deeltje vergelijkbaar met een zwaarder elektron, behorend tot de leptonfamilie.                        |
| **Neutrinodetectoren**                  | Detectoren ontworpen om neutrino's te detecteren, vaak gebaseerd op interacties met andere deeltjes.                 |
| **Neutrino's**                          | Neutrale, subatomaire deeltjes met zeer kleine massa en geen elektrische lading.                                    |
| **Nevelvat**                            | Een apparaat ontworpen om sporen van geladen deeltjes te registreren door condensatie van dampen.                    |
| **Ontdekking van neutrino's**           | De ontdekking van neutrino's in 1956 door Cowan en Reines, bevestigend dat deze deeltjes daadwerkelijk bestaan.       |
| **Positron**                            | Het antideeltje van het elektron, met een positieve lading.                                                            |
| **Quarks**                              | Elementaire deeltjes die de bouwstenen vormen van hadronen zoals protonen en neutronen.                               |
| **Standaardmodel van de elementaire deeltjes** | De huidige theoretische basis die de eigenschappen van elementaire deeltjes en hun interacties beschrijft.          |
| **Subatomaire deeltjes**                | Deeltjes die kleiner zijn dan atomen, waaronder quarks, leptonen en bosonen.                                         |
| **Typen versnellers**                   | Verschillende soorten deeltjesversnellers, zoals lineaire versnellers, cyclotrons en synchrotrons.                   |
| **Verval bij kernreacties**              | Het proces waarbij de ene kern spontaan transformeert in een andere kern, waarbij vaak straling wordt uitgezonden.  |
| **Vier fundamentele krachten**          | De vier bekende fundamentele krachten in de natuurkunde: zwaartekracht, elektromagnetisme, sterke kernkracht en zwakke kernkracht. |



* Hd17



| **Term**                            | **Definitie**                                                                                                      |
|-------------------------------------|--------------------------------------------------------------------------------------------------------------------|
| **Algemene relativiteit**           | De theorie die de zwaartekracht beschrijft als een kromming van de ruimtetijd door massa en energie.              |
| **Energie**                         | De capaciteit van een systeem om werk te verrichten.                                                              |
| **Gebeurtenis**                     | Een punt in de ruimtetijd met een specifieke positie en tijd.                                                       |
| **Gekromde ruimte**                 | De vervorming van de ruimte veroorzaakt door massa en energie volgens de algemene relativiteitstheorie.            |
| **Gelijktijdigheid**                | Het concept van gebeurtenissen die op hetzelfde moment plaatsvinden in een referentiestelsel.                       |
| **GPS-systeem**                     | Een wereldwijd navigatiesysteem dat gebruikmaakt van satellieten om locatie- en tijdinformatie te verstrekken.     |
| **Kinetische energie**              | De energie die een object bezit vanwege zijn beweging.                                                             |
| **Kromme lichtstralen**             | De baan van licht in een gekromde ruimte, zoals voorspeld door de algemene relativiteitstheorie.                    |
| **Lengtekrimp**                     | Een fenomeen voorspeld door de speciale relativiteitstheorie waarbij objecten in beweging in de richting van hun beweging worden verkort. |
| **Lichtkegel**                      | De verzameling gebeurtenissen in de ruimtetijd die door een enkel lichtsignaal kunnen worden beïnvloed.            |
| **Massa**                           | De hoeveelheid materie in een object.                                                                               |
| **Massadefect**                     | Het verschil in massa tussen de massa van een samengesteld deeltje en de som van de massa's van zijn afzonderlijke componenten. |
| **Oorzaak en gevolg**               | Het concept van gebeurtenissen die elkaar opvolgen in de tijd, waarbij de oorzaak voorafgaat aan het gevolg.       |
| **Referentiestelsel**               | Een kader dat wordt gebruikt om de positie en beweging van objecten te beschrijven.                                |
| **Ruimtetijd diagram**              | Een diagram dat de ruimtetijdvisualisatie van gebeurtenissen weergeeft.                                            |
| **Schwarzschildstraal**             | De straal waarbinnen de ontsnappingssnelheid groter is dan de lichtsnelheid, wat een object in een zwart gat zou veranderen. |
| **Speciale relativiteitstheorie**   | De theorie die de relativiteit van ruimte en tijd beschrijft voor waarnemers in een niet-versnellend referentiestelsel. |
| **Stilstaande en bewegende waarnemer** | Het concept van waarnemers die relatieve beweging ervaren ten opzichte van elkaar.                                |
| **Tijdrek**                         | Een fenomeen voorspeld door de speciale relativiteitstheorie waarbij tijd langzamer lijkt te gaan voor een waarnemer in beweging ten opzichte van een stilstaand referentiestelsel. |
| **Zwaartekracht**                   | De kracht die massa's aantrekt naar elkaar toe.                                                                     |
| **Zwart gat**                       | Een gebied in de ruimte waaruit niets kan ontsnappen vanwege de enorme zwaartekracht, zelfs geen licht.            |

