#+TITLE: NATUURKUNDE HAVO: VEELGESTELDE VRAGEN 2024-2025
#+STARTUP: hidestars
#+OPTIONS: ^:nil
# #+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-readtheorg.setup
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
# #+HTML_HEAD: <link rel="stylesheet" href="https://sandyuraz.com/styles/org.min.css">
#+OPTIONS: num:nil
#+options: num:nil

* Hd1
** Hd1.txt
|#| Vraag                                                                                                   | Antwoord                   |
| 70 | Waarom is zand niet geschikt als transportmiddel voor warmte?                                                                                  | Zand heeft een lage soortelijke warmtecapaciteit, waardoor het niet efficiënt warmte kan transporteren.|
| 71 | Waarom krijgt water uiteindelijk de laagste temperatuur in een warmteopslag?                                                                    | Water heeft een hogere soortelijke warmtecapaciteit dan aardolie, waardoor het meer warmte opslaat en langzamer afkoelt.|
| 72 | Waarom is het tegenstroomprincipe efficiënt in een warmtewisselaar?                                                                           | Het verhoogt de warmteoverdracht door de temperatuurverschillen te maximaliseren.                 |
| 73 | Wat is het voordeel van een spiraalvormige koperen leiding in een warmtewisselaar?                                                             | Het zorgt voor een efficiëntere warmteoverdracht door een grotere oppervlakte en betere circulatie.|
| 74 | Wat gebeurt er bij ventilatie van een ruimte?                                                                                                  | Er wordt lucht van buiten naar binnen en binnenlucht naar buiten verplaatst om frisse lucht te waarborgen.|
| 75 | Wat is de maximale snelheid in een ventilatiekanaal?                                                                                          | De maximale snelheid is 3 m/s.                                                                    |
| 76 |  Wat moet de aannemer doen om de juiste buisdiameter te kiezen? | De aannemer moet berekenen welke buisdiameter nodig is op basis van de luchtstroom en energiebehoefte. |
| 77 |  Hoe kan de temperatuur van de afgevoerde lucht berekend worden? | Bereken de temperatuurstijging van de aangevoerde lucht en pas deze toe op de afgevoerde lucht met dezelfde hoeveelheid warmte. |
| 78 |  Wat is de U-waarde van een raam en hoe wordt deze gebruikt? | De U-waarde geeft de warmtestroom per vierkante meter per graad temperatuurverschil aan. Dit helpt bij het bepalen van warmteverlies door een raam. |
| 79 |  Hoe wordt de totale warmtestroom door de ramen berekend? | Vermenigvuldig de U-waarde met de oppervlakte van de ramen en het temperatuurverschil tussen binnen en buiten. |
| 80 |  Waarom is de warmtestroom door enkelglas niet voldoende om de warmtestroom te verklaren? | Het verschil wordt veroorzaakt door stilstaande luchtlagen aan beide kanten van het glas. |
| 81 |  Hoe bereken je de totale dikte van de luchtlagen aan de binnen- en buitenkant van een raam? | Gebruik de warmtestroom en U-waarde om de dikte van de luchtlagen af te leiden. |
| 82 |  Hoe bereken je het debiet van de centrale verwarming? | Deel het vermogen van de warmtepomp door de temperatuurstijging van het water. |
| 83 |  Wat is de invloed van het rendement van een hr-ketel op de energiekosten? | Een lager rendement van de hr-ketel verhoogt de energiekosten en verkort de terugverdientijd van een warmtepomp. |
| 84 |  Hoe vergelijk je de indirecte CO2-uitstoot van een warmtepomp met de directe CO2-uitstoot van een hr-ketel? | Vergelijk de CO2-uitstoot op basis van het rendement van de warmtepomp en de CO2-uitstoot per eenheid energie van de hr-ketel. |
| 85 |  Hoe kun je de extra kosten voor de warmtepomp terugverdienen? | Bereken de besparing op energiekosten door de lagere energiekosten van de warmtepomp en vergelijk deze met de extra aanschafkosten. |
| 86 |  Wat is het rendement van een warmtepomp en hoe verhoudt dit zich tot een hr-ketel? | Het rendement van een warmtepomp is vaak hoger dan dat van een hr-ketel, wat leidt tot lagere energiekosten. |
| 87 |  Hoe beïnvloedt een lager rendement van de hr-ketel de uitkomsten van de berekeningen? | Bij een lager rendement van de hr-ketel nemen de energiekosten toe en kan de terugverdientijd van de warmtepomp korter zijn. |
| 88 |  Wat is de rol van het molecuulmodel in het verklaren van temperatuurveranderingen? | Het molecuulmodel verklaart temperatuurveranderingen door de snelheid en beweging van moleculen in een stof. |
| 89 |  Hoe wordt warmte getransporteerd via geleiding, stroming en straling? | Warmte wordt via geleiding door direct contact, via stroming door verplaatsing van vloeistoffen of gassen, en via straling door elektromagnetische golven overgedragen. |
| 90 |  Wat is de soortelijke warmte en hoe wordt deze gebruikt? | De soortelijke warmte is de hoeveelheid energie nodig om de temperatuur van een stof per kilogram met één graad Celsius te verhogen. Dit helpt bij het berekenen van de warmtebehoefte bij temperatuurveranderingen. |
| 91 |  Hoe wordt de warmteberekening voor het verwarmen van lucht en beton uitgevoerd? | Gebruik de soortelijke warmte van de stoffen, de massa en de temperatuurverandering om de benodigde warmte te berekenen. |
| 92 |  Hoe wordt de warmte die door muren verloren gaat tijdens een stookseizoen berekend? | Gebruik de oppervlakte van de muren, de U-waarde en het gemiddelde temperatuurverschil om de warmtestroom per seconde te berekenen, en vermenigvuldig dit met het aantal seconden in het stookseizoen. |
| 93 |  Hoe lang duurt het om twaalf kruiken op te warmen met een verwarmingsvermogen van kW? | Deel de totale benodigde warmte voor twaalf kruiken door het vermogen van de verwarmingsbron om de tijd te berekenen. |
| 94 |  Wat is de belangrijkste vorm van warmtetransport in een kruikenmoeder? | Het belangrijkste vorm van warmtetransport is geleiding van warmte van het verwarmingselement naar het water in de schachten. |

* Hd6
** Hd6.txt
|#| Vraag                                                                                                   | Antwoord                                                                                         |
|-------------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------|
| 1 | Noem een voorbeeld van een stof die warmte goed geleidt.                                                   | Koper, aluminium.                                                                                  |
| 2 | Wat beschrijft thermische geleidbaarheid?                                                                   | Hoe goed een materiaal warmte geleidt.                                                             |
| 3 | Hoe noem je de hoeveelheid warmte die een stof opneemt of afgeeft?                                          | Warmtecapaciteit.                                                                                  |
| 4 | Wat is de netspanning in Europa?                                                                            | 230 volt.                                                                                         |
| 5 | Welke eenheid wordt gebruikt voor elektrische spanning?                                                      | Volt.                                                                                             |
| 6 | Wat gebeurt er in een warmtepomp?                                                                          | Energie wordt verplaatst van een koudere naar een warmere plaats.                                   |
| 7 | Hoe noem je een apparaat dat elektrische spanning meet?                                                     | Spanningsmeter of voltmeter.                                                                        |
| 8 | Wat is het verschil tussen een batterij en een zonnecel bij het opwekken van elektrische energie?             | Een batterij gebruikt chemische reacties, terwijl een zonnecel stralingsenergie omzet.             |
| 9 | Hoe kun je een accu opladen met een accubooster?                                                             | Verbind de accubooster met de accu volgens de polariteit.                                           |
| 10 | Wat is de functie van een dynamo in een auto?                                                               | Het opwekken van elektrische energie door de draaiende as van de dynamo.                            |
| 11 | Wat is de energiedichtheid van uranium bij kernsplijting vergeleken met steenkool?                            | Uranium heeft een veel hogere energiedichtheid dan steenkool.                                        |
| 12 | Wat gebeurt er als je twee positief geladen voorwerpen bij elkaar brengt?                                   | Ze stoten elkaar af.                                                                               |
| 13 | Wat is de rol van een spanningsbron in een elektrische schakeling?                                           | Het levert elektrische energie door een spanning tussen de aansluitpunten.                          |
| 14 | Hoe kun je de spanning van een accu meten met een multimeter?                                                | Verbind de multimeter parallel met de accu en kies het juiste meetbereik.                          |
| 15 | Wat is de reden dat zonnepanelen vaak in serie worden geschakeld?                                            | Om een hogere spanning te bereiken.                                                                 |
| 16 | Wat geeft de energiedichtheid van een brandstof aan?                                                          | Hoeveel energie beschikbaar is per eenheid massa of volume.                                         |
| 17 | Wat is het effect van wrijving op elektrische lading?                                                        | Het veroorzaakt een verschuiving van elektronen, waardoor de stoffen positief of negatief geladen worden. |
| 18 | Hoe hebben de blaadjes hun lading gekregen en wat is de lading van de blaadjes?           | De blaadjes hebben dezelfde lading gekregen en stoten elkaar af. Ze zijn waarschijnlijk positief of negatief geladen, afhankelijk van het specifieke geval.|
| 19 | Hoe bereken je de spanning in figuur a tot en met d?                                      | De spanning tussen twee punten moet worden opgemeten of afgelezen uit de figuren. |
| 20 | Hoe haal je een spanning van 12 V uit de losse cellen van een loodaccu?                   | Door meerdere cellen in serie te schakelen.           |
| 21 | Hoeveel energie bevat de accu in MJ en wat is de massa van de loodcellen?                  | Bereken de massa van de loodcellen met behulp van de energiedichtheid gegeven in de tabellen. |
| 22 | Hoeveel liter benzine levert 8 GJ aan energie?                                             | Bereken het aantal liters door de energie te delen door de energie-inhoud per liter benzine.|
| 23 | Wat is de massa van 1 liter benzine?                                                       | Bereken de massa op basis van de energiedichtheid en volume. |
| 24 | Hoeveel kg Li-ion batterijen zijn nodig voor een actieradius van 500 km?                   | Bereken de benodigde massa door de energiebehoefte te delen door de energiedichtheid van de Li-ion batterijen. |
| 25 | Zijn de zonnecellen in serie of parallel geschakeld als een zonnepaneel een bepaalde spanning levert? | Als de spanning van een zonnepaneel hoger is dan de spanning van een enkele cel, zijn de cellen in serie geschakeld.|
| 26 | Hoe vaak knippert een tl-buis per seconde?                                                 | Dit hangt af van de frequentie van de netspanning (50 Hz in Europa), dus de tl-buis knippert 100 keer per seconde. |
| 27 | Waarom is de maximum netspanning groter dan de gelijkspanning van 230 V?                   | Omdat de netspanning wisselt tussen positieve en negatieve waarden, en de gemiddelde waarde gelijk is aan de gelijkspanning.|
| 28 | Wat is de maximale spanning tussen de aansluitpunten zwart en rood in een driefaseaansluiting? | Dit is de fase-spanning van de drie fasepunten, dus het verschil is 400 V (voor een systeem van 230 V per fase).|
| 29 | Wat stroomt er bij elektrische stroom?                                                      | Elektrische stroom is de verplaatsing van geladen deeltjes (elektronen) in een geleidende omgeving. |
| 30 | Is de lading van een magnesiumion positief of negatief en wat is de lading in coulomb?     | Het magnesiumion is positief en heeft een lading van +2e, wat gelijk is aan +3.2 × 10^-19 C.|
| 31 | Hoe bereken je de tijd waarin een bepaalde lading door een bliksemafleider is gestroomd?    | Gebruik de formule t = Q/I waarbij Q de lading is en I de stroomsterkte.|
| 32 | Hoeveel elektronen verplaatsen zich bij een blikseminslag met een gegeven lading?           | Bereken het aantal elektronen door de lading te delen door de elementaire lading (1.6 × 10^-19 C).|
| 33 | Hoe meet je de stroomsterkte met een stroommeter?                                           | Sluit de stroommeter in serie met het apparaat aan. |
| 34 | Wat is de capaciteit van een batterij van 1800 mAh in coulomb?                              | De capaciteit is 1800 mAh, wat gelijk is aan 6.48 × 10^3 C (1800 mA × 3600 s).|
| 35 | Hoeveel uur duurt het voordat twee batterijen van 1800 mAh leeg zijn met een stroom van 50 mA? | Gebruik de formule t = Q/I waarbij Q = 3600 mAh en I = 50 mA. Dit geeft een tijd van 72 uur.|
| 36 | Wat doet een diode in de stroomkring?                                                       | Een diode zorgt voor eenrichtingsverkeer in een stroomkring; hij laat stroom alleen in één richting passeren.|
| 37 | Wat is het verschil tussen een diode en een LED?                                            | Een LED zet elektrische energie om in licht, terwijl een gewone diode vooral omgezet wordt in warmte. |
| 38 | Wat is een voordeel van LED-lampen ten opzichte van spaarlampen?                                  | LED-lampen hebben een hogere lichtopbrengst en een langere levensduur. |
| 39 | Waar worden infrarood-LED's vaak voor gebruikt?                                                   | In afstandsbedieningen.                                  |
| 40 | Waarvoor worden UV-LED's bijvoorbeeld gebruikt?                                                    | Voor het sneller laten uitharden van nagellak in nagelstudio's. |
| 41 | Wat moet je aansluiten om een lamp te laten branden?                                               | Een spanningsbron.                                        |
| 42 | Wat gebeurt er met de stroom door een lamp als de spanning over de lamp groter is?                 | De stroomsterkte neemt toe.                               |
| 43 | Hoeveel elektronen gaan er per seconde door een draad bij een stroomsterkte van 1 A?               | Ongeveer \(6.242 \times 10^{19}\) elektronen.            |
| 44 | Waarom moet een adapter een diode bevatten om een batterij op te laden?                           | Omdat wisselspanning niet direct kan worden gebruikt om een batterij op te laden. |
| 45 | Wat is een kenmerk van een regelbare weerstand?                                                     | De weerstand kan worden aangepast.                        |
| 46 | Hoe verandert de weerstand van een metaaldraad als de temperatuur stijgt?                          | De weerstand neemt toe.                                   |
| 47 | Wat is de eenheid van weerstand?                                                                     | Ohm (Ω).                                                   |
| 48 | Wat is het effect van de doorsnede van een draad op de weerstand?                                  | De weerstand neemt af als de doorsnede groter is.          |
| 49 | Wat gebeurt er met de weerstand als de lengte van een draad verdubbelt?                            | De weerstand verdubbelt.                                  |
| 50 | Hoe verandert de weerstand bij een negatieve temperatuurcoëfficiënt?                                | De weerstand neemt af bij stijgende temperatuur.           |
| 51 | Welke eenheid heeft soortelijke weerstand?                                                          | Ohm-meter (Ω·m).                                          |
| 52 | Wat is een NTC? | Een NTC (Negative Temperature Coefficient) is een weerstand die zijn weerstand verlaagt naarmate de temperatuur stijgt. |
| 53 | Hoe meet je de weerstand van een lampje met een multimeter? | Door de spanning en stroomsterkte te meten, kan je de weerstand berekenen (Weerstand = Spanning / Stroomsterkte). |
| 54 | Wat gebeurt er met de stroomsterkte bij een NTC als de temperatuur stijgt? | De stroomsterkte neemt toe omdat de weerstand van de NTC afneemt. |
| 55 | Waarom neemt de stroomsterkte in het begin af bij het inschakelen van een NTC? | Dit komt omdat de weerstand van een NTC bij lage temperaturen hoog is, waardoor de stroomsterkte laag is. Na verloop van tijd daalt de weerstand en stijgt de stroomsterkte. |
| 56 | Hoe verandert de weerstand van een LDR (Light Dependent Resistor) met de hoeveelheid licht? | De weerstand van een LDR neemt af naarmate de hoeveelheid licht toeneemt. |
| 57 | Wat gebeurt er met twee lampjes die parallel zijn aangesloten op een spanningsbron? | De totale stroomsterkte door de spanningsbron verdubbelt omdat beide lampjes tegelijkertijd dezelfde spanning krijgen. |
| 58 | Wat is de relatie tussen vermogen, spanning en stroomsterkte? | Vermogen is recht evenredig met zowel de spanning als de stroomsterkte. (P = V × I) |
| 59 | Hoe kan je de energieverbruik berekenen in kWh? | Vermogen (in kW) × Tijd (in uren) = Energieverbruik (in kWh). |
| 60 | Hoe kan je de terugverdientijd van de kosten van een ledlamp berekenen? | Vergelijk de jaarlijkse kostenbesparing met de aankoopprijs van de ledlamp om de terugverdientijd te bepalen. |
| 61 | Wat is het verschil tussen de nuldraad en de fasedraad in een stopcontact? | De nuldraad heeft een spanning van 0 V ten opzichte van de aarde, terwijl de fasedraad de netspanning heeft ten opzichte van de nuldraad. |
| 62 | Wat is kortsluiting en wat kan het veroorzaken? | Kortsluiting ontstaat wanneer de fasedraad en nuldraad direct elektrisch contact maken, wat kan leiden tot een zeer hoge stroomsterkte en mogelijke brandgevaar. |
| 63 | Wat doet een smeltzekering? | Een smeltzekering beschermt de elektrische installatie door door te smelten bij een te hoge stroomsterkte, waardoor de stroomkring onderbroken wordt. |
| 64 | Wat gebeurt er met een automatische zekering bij een te hoge stroomsterkte? | De automatische zekering schakelt de stroom uit en kan weer ingeschakeld worden nadat het probleem is opgelost. |
| 65 | Wat is het effect van een hoofdzekering die de stroomtoevoer onderbreekt? | De spanning valt in het hele huis weg.                                                               |
| 66 | Wat gebeurt er als je een elektriciteitsdraad aanraakt met spanning?     | Je wordt onderdeel van de stroomkring, wat gevaarlijk kan zijn.                                       |
| 67 | Waarom is het gevaarlijk om stroom door je lichaam te laten lopen?       | Het kan brandwonden, spierkrampen, hartfalen en schadelijke elektrolyse veroorzaken.                    |
| 68 | Hoe voorkomt aarding een gevaarlijke situatie?                            | De aarddraad leidt de stroom naar de aarde in plaats van via je lichaam.                              |
| 69 | Wat doet een aardlekschakelaar?                                           | Vergelijkt de stroomsterkte in de fasedraad en nuldraad; onderbreekt de stroom als het verschil te groot is. |
| 70 | Waarom kan de energie van bliksem niet nuttig worden gebruikt?            | Het is moeilijk om bliksemenergie op te slaan en het gebeurt slechts kortstondig.                      |
| 71 | Hoe bereken je het maximale vermogen tijdens een bliksemontlading?        | Vermogen = Spanning × Stroomsterkte.                                                                  |
| 72 | Wat is het voordeel van een aardlekschakelaar in vergelijking met een aarddraad? | Een aardlekschakelaar kan een lekstroom detecteren en de stroom onderbreken, terwijl een aarddraad alleen de stroom wegleidt. |
| 73 | Waarom moet je de metalen knop van een spanningzoeker aanraken?           | Het maakt de spanningzoeker compleet en helpt de meting correct uit te voeren.                          |
| 74 | Wat gebeurt er met de stroomsterkte door een zekering als de remlichten branden? | De stroomsterkte door de zekering is gelijk aan de totale stroom van de remlichten en andere aangesloten apparaten. |
| 75 | Waarom moeten dikkere aansluitdraden worden gebruikt bij een nieuwe audioversterker? | Omdat een hogere stroomsterkte door dikkere draden beter kan worden geleid zonder oververhitting.     |
| 76 | Wat gebeurt er met de weerstand van een verwarmingselement na verloop van tijd? | De weerstand neemt toe, wat de energieoverdracht vermindert.                                           |
| 77 | Wat is het effect van een zekering van 10 A in vergelijking met een van 5 A? | Een 10 A zekering kan een hogere stroomsterkte doorlaten zonder door te branden.                       |
| 78 | Hoe kan je het gemiddelde vermogen van een bliksemstraal berekenen?       | Vermogen = Energie / Tijd.                                                                           |
| 79 | Waarom is het gebruik van een aardlekschakelaar belangrijk naast een aarddraad? | Het biedt extra bescherming door lekstromen te detecteren en de stroom te onderbreken.                |
| 80 | Wat is het verschil in warmteontwikkeling tussen een koperen en een aluminium draad? | De warmteontwikkeling hangt af van de elektrische weerstand; aluminium heeft meestal een hogere weerstand. |
| 81 | Hoe wordt de spanning verdeeld in een serieschakeling?                    | De totale spanning verdeelt zich over de weerstanden in verhouding tot hun weerstand.                 |
| 82 | Wat gebeurt er als je een tv met een vermogen van 100 W aanzet in een huishouden? | De tv verbruikt 100 W van de totale jaarlijkse energie.                                               |
| 83 | Wat gebeurt er met de spanning over de weerstanden in een serieschakeling? | De spanning wordt verdeeld over de weerstanden; de grootste spanning valt over de grootste weerstand.                                                    |
| 84 | Wat is een kenmerk van een parallelschakeling met betrekking tot spanning? | De spanning over elke weerstand is gelijk aan de spanning van de batterij.                                                                                 |
| 85 | Hoe verandert de totale weerstand als je meer weerstanden parallel aansluit? | De totale weerstand wordt kleiner.                                                                                                                          |
| 86 | Wat is de relatie tussen de stroomsterkte en de weerstand in een parallelschakeling? | De grootste stroomsterkte gaat door de weerstand met de kleinste waarde.                                                                                  |
| 87 | Hoe bereken je het verlies aan vermogen in een bovenleiding?               | Het verlies aan vermogen in de bovenleiding is afhankelijk van de weerstand van de bovenleiding en de stroomsterkte.                                         |
| 88 | Wat gebeurt er met de spanning en stroomsterkte als je een derde lampje in serie aansluit? | De spanning over elk lampje verandert afhankelijk van de totale spanning en de stroomsterkte vermindert door de extra weerstand.                         |
| 89 | Wat gebeurt er met de spanning en stroomsterkte als je een derde lampje parallel aansluit? | De spanning over elk lampje blijft gelijk, maar de totale stroomsterkte door de batterij neemt toe.                                                        |
| 90 | Hoe bereken je de weerstand die nodig is om een lampje op een veilige spanning te laten branden? | Je moet de weerstand berekenen die samen met het lampje een correcte spanning en stroomsterkte mogelijk maakt.                                             |
| 91 | Wat is het effect op de totale stroomsterkte bij een gemengde schakeling?  | De totale stroomsterkte is de som van de stroomsterktes door de parallel geschakelde takken en door de serie geschakelde weerstanden.                     |
| 92 | Hoe kan je de waarde van een onbekende weerstand berekenen in een gemengde schakeling? | Je berekent eerst de weerstand van de parallel geschakelde weerstanden en gebruikt die waarde om de totale weerstand en stroomsterkte te vinden.        |
| 93 | Wat gebeurt er met de totale weerstand in een serieschakeling?             | De totale weerstand is de som van de individuele weerstanden in de serie.                                                                                   |
| 94 | Hoe bereken je de spanning over een weerstand in een parallelschakeling?   | De spanning over elke weerstand is gelijk aan de spanning van de batterij.                                                                                  |
| 95 | Hoe beïnvloedt het toevoegen van een weerstand in serie met een lampje de stroomsterkte? | De stroomsterkte door het lampje vermindert omdat de totale weerstand in de schakeling toeneemt.                                                           |
| 96 | Wat moet je doen als de spanning van de batterij hoger is dan de spanning van het lampje? | Gebruik een weerstand in serie om de spanning over het lampje te verlagen tot de gewenste waarde.                                                           |
| 97 | Hoe verandert de spanning over een lampje als je de spanning van de batterij verandert in een parallelschakeling? | De spanning over elk lampje verandert gelijkmatig met de spanning van de batterij.                                                                           |
| 98 | Waarom kiezen ze de weerstand van Q voor de schakeling?                                               | Omdat dan de spanning die de spanningsmeter aangeeft het grootst is.                                               |
| 99 | Waarom neemt de spanning over de LDR af als er meer licht op valt?                                    | Omdat de weerstand van de LDR afneemt bij toenemend licht, waardoor de spanning erover vermindert.                |
| 100 | Waarom neemt de spanning over weerstand toe als er meer licht op de LDR valt?                          | Omdat de weerstand van de LDR afneemt, waardoor er meer spanning over de andere weerstand valt.                   |
| 101 | Waarom staat de spanningsmeter over de weerstand en niet over de LDR?                                 | Omdat de spanning over de weerstand het signaal van de sensor is, dat beter te meten is dan de spanning over de LDR.|
| 102 | Wat gebeurt er met de helderheid van het lampje als R toeneemt?                                         | Het lampje brandt zwakker omdat zowel de spanning als de stroomsterkte afnemen.                                    |
| 103 | Wat is de relatie tussen het elektrische vermogen van het lampje en de waarde van R?                    | Als R toeneemt, neemt het vermogen van het lampje af.                                                               |
| 104 | Hoeveel warmte ontstaat per seconde in de weerstand als R gelijk is aan X?                             | Het exacte antwoord hangt af van de waarde van R en andere variabelen, maar kan berekend worden met de gegeven gegevens.|
| 105 | Hoe bereken je de stroomsterkte in de hoogspanningskabels?                                              | Door de spanning en weerstand van de kabels te gebruiken.                                                           |
| 106 | Hoe bereken je het verlies aan vermogen in de hoogspanningskabels?                                      | Door de stroomsterkte en de weerstand van de kabels te vermenigvuldigen.                                           |
| 107 | Wat is het rendement van het energietransport als de verliezen worden meegenomen?                       | Het rendement is bijna 100% als de verliezen minimaal zijn.                                                         |
| 108 | Wat zijn de voordelen en nadelen van waterstofauto’s?                                                    | Voordeel: geen CO2-uitstoot. Nadeel: waterstofproductie kan duur en milieubelastend zijn.                           |
| 109 | Hoe kan waterstof op een duurzame manier geproduceerd worden?                                           | Door elektrolyse van water met gebruik van duurzame energiebronnen.                                                |
| 110 | Wat zijn de voordelen van elektrische energie vergeleken met fossiele brandstoffen?                     | Elektriciteit is schoon, eenvoudig te transporteren, en kan omgezet worden in diverse energievormen.               |
| 111 | Wat zijn de nadelen van elektriciteit vergeleken met fossiele brandstoffen?                             | Lagere energiedichtheid en CO2-uitstoot bij traditionele opwekking.                                                 |
| 112 | Hoe beïnvloedt de energiedichtheid van batterijen het gebruik van elektrische energie?                  | Batterijen hebben een lagere energiedichtheid dan fossiele brandstoffen, wat opslag en transport bemoeilijkt.     |
| 113 | Hoe kan energie bespaard worden in huishoudelijke apparaten?                                            | Door apparaten uit te schakelen als ze niet worden gebruikt en door energiezuinige apparaten te kiezen.            |
| 114 | Wat is het rendement van een apparaat en hoe wordt dit berekend?                                        | Het rendement is de verhouding van nuttige energie tot de totale omgezette energie, meestal uitgedrukt in procenten.|
| 115 | Hoe verhoudt het rendement van een LED-lamp zich tot dat van een spaarlamp?                              | Het rendement van een LED-lamp is meestal groter omdat LED-lampen efficiënter zijn in het omzetten van energie naar licht.|
| 116 | Wat zijn de voor- en nadelen van conventionele en duurzame energiecentrales?                           | Conventioneel: goedkoop maar vervuilend. Duurzaam: milieuvriendelijk maar vaak duurder en minder consistent.       |
| 117 | Toon aan dat de gloeilamp elektrische energie per seconde omzet in licht. | Een gloeilamp zet elektrische energie om in licht door weerstand in de draad, wat leidt tot opwarming en lichtemissie. |
| 118 | Bereken het rendement van de LED-lamp als de bewering van de fabrikant klopt. | Rendement LED-lamp = (Energie omgezet in licht door LED) / (Energie verbruikt door LED). Aangezien LED's vaak veel efficiënter zijn dan gloeilampen, is dit rendement veel hoger. |
| 119 | Hoe lang kan de boot varen als de batterijen volledig opgeladen zijn en niet worden bijgeladen? | Gebruik het totale opgeslagen energie in batterijen gedeeld door het vermogen van de motor om de tijd te berekenen. |
| 120 | Bereken de stroomsterkte door de motor van de TU Delft boot. | Stroomsterkte = Vermogen motor / Spanning batterijen. |
| 121 | Bereken het rendement van de gebruikte zonnecellen. | Rendement zonnecellen = (Opbrengst in wattpiek) / (Ingevallen stralingsenergie) × 100%. |
| 122 | Hoe lang duurt het om de batterijen volledig op te laden met zonnecellen? | Tijd om op te laden = Totale energie nodig / Opbrengst zonnecellen per tijdseenheid. |
| 123 | Teken het schema voor het opladen van twee batterijen met zonnepaneeltjes. | Teken twee zonnepaneeltjes in serie of parallel verbonden met de batterijen, afhankelijk van de vereiste spanning en capaciteit. |
| 124 | Bereken hoelang het duurt om twee batterijen op te laden met zonnepaneeltjes. | Tijd = Capaciteit van batterijen / (Maximale stroom van zonnepaneeltjes). |
| 125 | Leg uit waarom een diode belangrijk is als er een wolk voor de zon schuift. | Een diode voorkomt dat stroom terugvloeit naar de zonnepaneeltjes bij verminderde zonlichtintensiteit, wat de batterij kan beschadigen. |
| 126 | Leg uit waarom windmolenparken in de Noordzee worden gebouwd. | In de Noordzee is de gemiddelde windsnelheid hoger dan op land, wat resulteert in een grotere opbrengst van windenergie. |
| 127 |  Bereken het vermogen van de lucht die op een windmolen afkomt. | Gebruik de formule voor windvermogen met de gegeven parameters zoals windsnelheid en wiekenoppervlak. |
| 128 |  Hoeveel procent van het vermogen van de lucht wordt afgegeven aan de windmolen als de windsnelheid afneemt tot een derde deel? | Bereken de verhouding van de vermogensafgifte op basis van de vermogensformule en de verandering in windsnelheid. |
| 129 |  Bereken het aantal huishoudens dat kan worden aangesloten op het windmolenpark. | Aantal huishoudens = Totale energieopbrengst van het windmolenpark / Gemiddeld jaarlijks energieverbruik per huishouden. |
| 130 |  Noem twee argumenten waarom huizen op het elektriciteitsnet zijn aangesloten. | 1. Betrouwbaarheid en continuïteit van de energievoorziening. 2. Mogelijkheid om energie te delen en te balanceren over meerdere bronnen. |
| 131 |  Bereken het rendement van een zonnecel die een elektrisch vermogen van mW afgeeft bij een verlichtingssterkte van W/m². | Rendement = (Afgegeven elektrisch vermogen) / (Vallende stralingsenergie) × 100%. |
| 132 |  Laat zien dat een batterij na een jaar leeg is door de energie te berekenen. | Energie geleverd door batterij = Spanning × Capaciteit × Aantal uren per jaar. |
| 133 |  Bereken de prijs van energie uit een batterij. | Kosten per kWh = Totale kosten van batterij / Energiecapaciteit in kWh. |
| 134 |  Bereken de kosten van tv-kijken gedurende een jaar. | Kosten = Vermogen van tv × Uren per week × 52 weken × Prijs per kWh. |
| 135 |  Leg uit waarom de standbystand van een tv niet wenselijk is. | De standbystand verbruikt stroom, zelfs als de tv niet actief is, wat leidt tot onnodige energieverspilling. |
| 136 |  Bereken de jaarlijkse verspilling van energie door een tv in standbystand. | Verspilling = Vermogen in standbystand × Uren per jaar. |
| 137 |  Bereken de massa van een volle tank met waterstof. | Massa = Volume van tank × Dichtheid van waterstof bij hoge druk. |
| 138 |  Bereken hoeveel procent van de oorspronkelijke elektrische energie beschikbaar is na elektrolyse en compressie. | Beschikbare energie = (Rendement elektrolyse × Rendement compressie) × 100%. |
| 139 |  Bereken de energieopbrengst in kWh per jaar van een windmolenpark voor huishoudens. | Energieopbrengst = Aantal huishoudens × Gemiddeld jaarlijks verbruik per huishouden. |
| 140 | Wat zet een gloeilamp om in licht? | Elektrische energie. |
| 141 | Waarom is het rendement van een LED-lamp veel groter dan dat van een gloeilamp? | Omdat een LED-lamp efficiënter is in het omzetten van elektrische energie naar licht dan een gloeilamp. |
| 142 | Wat is het maximale aantal MJ energie dat een Elfstedenzonneboot kan opslaan in batterijen? | 300 MJ. |
| 143 | Hoe lang kan de TU Delft-boot varen als hij een motor met een vermogen van 10 kW heeft en de batterijen een spanning van 200 V hebben? | Ongeveer 6 uur. |
| 144 | Hoe bereken je de stroomsterkte door de motor? | Deel het vermogen van de motor door de spanning van de batterijen. |
| 145 | Wat is de totale hoeveelheid energie die zonnecellen leveren als ze een oppervlakte van 10 m² bedekken en een vermogen van 500 Wp hebben? | 500 Wp. |
| 146 | Hoe lang duurt het om de batterijen volledig op te laden met zonnecellen als het totale vermogen van de zonnecellen 500 Wp is en de batterijen 300 MJ energie nodig hebben? | Ongeveer 6 uur. |
| 147 | Wat is het rendement van een zonnecel als de stralingsenergie 1000 W/m² is en de zonnecel 0,2 m² groot is en 5 W aflevert? | 1%. |
