#+STARTUP: hidestars
#+OPTIONS: ^:nil
# #+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-readtheorg.setup
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
# #+HTML_HEAD: <link rel="stylesheet" href="https://sandyuraz.com/styles/org.min.css">
#+OPTIONS: num:nil
#+options: num:nil


| Term                        | Definitie                                                                                                   |
| Interferentie geluidsgolven   | Het verschijnsel waarbij geluidsgolven elkaar ontmoeten en interfereren, resulterend in versterking of verzwakking van geluidsintensiteit. |
| Interferentie van licht           | De samenvoeging en interferentie van lichtgolven die leiden tot versterking of verzwakking van het totale lichtpatroon. |
| Interferentie van golf          | Het fenomeen waarbij twee of meer lichtgolven samenkomen en elkaar versterken of verzwakken.                    |
| Invertor                      | Een elektronische component die de ingangsspanning omkeert.                                                       |
| Invoerelementen               | Componenten die input leveren aan een systeem.                                                                   |
| Ioniserende straling          | Straling die voldoende energie heeft om elektronen uit atomen te verwijderen en ionisatie te veroorzaken.      |
| Isolatie                | Materialen of structuren die worden gebruikt om warmteoverdracht te verminderen, waardoor warmteverlies wordt beperkt of warmte wordt vastgehouden. |
| Joulemeter                 | Een apparaat dat wordt gebruikt om de hoeveelheid warmte of energie die wordt overgedragen te meten, vaak in joules. |
| Joulemeter              | Een instrument dat wordt gebruikt om de hoeveelheid warmte die vrijkomt of wordt geabsorbeerd bij een proces te meten. |
| Keramische materialen   | Materialen die zijn samengesteld uit anorganische verbindingen en die vaak worden gekenmerkt door hun hardheid, hittebestendigheid en elektrische isolatie. |
| Kernenergie                         | Energie die vrijkomt bij kernreacties, zoals die in kerncentrales.                                                    |
| Kernreacties                  | Processen waarbij de kernen van atomen worden veranderd, zoals radioactief verval of kernfusie.                        |
| Kernreacties                        | Reacties waarbij de kernen van atomen veranderen, resulterend in veranderingen in de aard van de betrokken atomen.    |
| Kernstraling                 | Straling afkomstig van de kern van een atoom, inclusief alfa-, bèta- en gammastraling.                                |
| Kernstraling                  | Straling die afkomstig is van de kern van een atoom.                                                          |
| Kinetische energie             | De energie die een object heeft vanwege zijn beweging.                                                            |
| Kinetische energie           | De energie die een object heeft als gevolg van zijn beweging.                                                      |
| Kinetische energie              | De energie die een object bezit vanwege zijn beweging.                                                             |
| Kinetische energie                | De energie die een object bezit vanwege zijn beweging.                                                 |
| Knoplijn                     | De punten op een staande golf waar de uitwijking minimaal is.                                                    |
| Kortsluiting                  | Een onbedoelde verbinding tussen de geleiders in een elektrisch circuit, wat kan leiden tot overbelasting of schade aan apparaten. |
| Kortsluiting                            | Een ongewenste verbinding tussen twee punten met verschillende potentiaal in een elektrisch circuit.                    |
| Kracht bij eenparige cirkelbeweging | De kracht die nodig is om een object in een cirkelvormige baan te houden, bekend als de middelpuntzoekende kracht. |
| Kracht op spoel              | De kracht die wordt uitgeoefend op een spoel die zich in een magnetisch veld bevindt en waar een stroom doorheen gaat. |
| Kracht en uitwisseling van deeltjes | Het proces waarbij deeltjes met elkaar interageren door de uitwisseling van krachten, zoals elektromagnetische, zwakke en sterke kernkrachten. |
| Krachten samenstellen      | Het proces van het combineren van verschillende krachten om een resulterende kracht te bepalen.              |
| Krachten ontbinden         | Het proces van het opsplitsen van een enkele kracht in meerdere componenten langs verschillende assen of richtingen. |
| Krachten in evenwicht      | Een toestand waarin de resulterende kracht op een object nul is, waardoor het object in rust blijft of met constante snelheid beweegt. |
| Krachten                       | Fysieke interacties die de beweging of de vorm van een object veranderen.                                        |
| Krachten bij trilling        | De krachten die optreden op een object tijdens trillingen, zoals de veerkracht en de wrijvingskracht.             |
| Krachten                          | Fysieke interacties tussen objecten of deeltjes die veranderingen in beweging, vorm of richting kunnen veroorzaken. |
| Krachten samenstellen             | Het proces van het combineren van meerdere krachten tot een enkele resulterende kracht.                |
| Krachten ontbinden                | Het proces van het opsplitsen van een enkele kracht in twee of meer componenten.                        |
| Krachten in evenwicht             | Een situatie waarin de resulterende kracht op een object nul is, wat resulteert in een stabiele toestand waarin het object niet versnelt. |
| Krachten                          | Fysieke interacties die de beweging of de vorm van een object veranderen.                             |
| Kringproces                | Een proces waarbij een systeem een reeks veranderingen ondergaat en uiteindelijk terugkeert naar zijn oorspronkelijke toestand. |
| Kromme lichtstralen             | De baan van licht in een gekromde ruimte, zoals voorspeld door de algemene relativiteitstheorie.                    |
| Kubieke uitzetting         | De toename in volume van een materiaal als gevolg van een temperatuurstijging, gemeten in alle drie dimensies. |
| Kwadratenwet                  | Een natuurkundige wet die stelt dat de intensiteit van straling omgekeerd evenredig is met het kwadraat van de afstand tot de stralingsbron. |
| Kwadratisch evenredig verband      | Een verband waarbij de ene variabele kwadratisch afhangt van de andere variabele.                                     |
| Kwalitatieve                | Beschrijvend in termen van eigenschappen, kenmerken of observaties zonder kwantitatieve metingen.               |
| Kwalitatieve waarnemingen          | Waarnemingen die worden gedaan zonder numerieke metingen, gebaseerd op eigenschappen, kenmerken of verschijnselen.  |
| Kwantitatieve               | Beschreven met behulp van numerieke waarden en metingen.                                                       |
| Kwantitatieve waarnemingen         | Waarnemingen gedaan door middel van numerieke metingen of gegevens.                                                  |
| LED                           | Een lichtgevende diode die licht produceert wanneer er elektrische stroom doorheen gaat.                         |
| LED                                     | Een lichtgevende diode die licht produceert wanneer er elektrische stroom doorheen gaat.                                |
| Lading                        | De eigenschap van deeltjes die verantwoordelijk is voor elektrische interacties, gemeten in coulombs.             |
| Lading                                  | Een fundamentele eigenschap van materie, die aangeeft hoeveel elektrische energie een object draagt.                     |
| Ladingen kracht              | De kracht die optreedt tussen twee elektrisch geladen deeltjes als gevolg van elektrostatische interacties.        |
| Lengtekrimp                     | Een fenomeen voorspeld door de speciale relativiteitstheorie waarbij objecten in beweging in de richting van hun beweging worden verkort. |
| Lenzen                         | Optische componenten die lichtstralen buigen om beelden te vormen.                                              |
| Lenzenformule                  | Een formule die de relatie beschrijft tussen de brandpuntsafstand, de objectafstand en de beeldafstand van een lens. |
| Leptonen                            | Elementaire deeltjes, zoals elektronen en neutrino's, die niet onderhevig zijn aan de sterke kernkracht.            |
| Levenscyclus zon              | De verschillende stadia die de zon doorloopt tijdens zijn evolutie, van de geboorte tot het einde als een witte dwerg. |
| Licht als deeltje                 | Het concept dat licht soms gedrag vertoont dat kenmerkend is voor deeltjes, zoals in het foto-elektrisch effect.    |
| Licht golfmodel                   | Een model dat licht beschrijft als golven die zich door de ruimte verspreiden en interfereren met elkaar.          |
| Licht als golf                 | Het concept dat licht zich gedraagt als een golf, met golflengte en frequentie.                                 |
| Licht als deeltje              | Het concept dat licht bestaat uit discrete deeltjes, fotonen, met energie en impuls.                            |
| Lichtbundels                   | Bundels van lichtstralen die zich voortbewegen in een bepaalde richting.                                        |
| Lichtgevoelige weerstand                | Een weerstand waarvan de weerstandswaarde verandert afhankelijk van de hoeveelheid licht waaraan het is blootgesteld.  |
| Lichtkegel                      | De verzameling gebeurtenissen in de ruimtetijd die door een enkel lichtsignaal kunnen worden beïnvloed.            |
| Lijnenspectrum                | Een spectrum bestaande uit discrete spectrale lijnen, typisch geassocieerd met atomen of moleculen die elektromagnetische straling absorberen of uitzenden. |
| Lineair verband             | Een relatie tussen twee variabelen waarbij een verandering in één variabele gepaard gaat met een proportionele verandering in de andere variabele, resulterend in een rechte lijn wanneer grafisch weergegeven. |
| Lineair verband                    | Een verband tussen twee variabelen waarbij een verandering in de ene variabele een proportionele verandering in de andere veroorzaakt. |
| Lineaire uitzetting        | De toename in lengte van een materiaal als gevolg van een temperatuurstijging, gemeten langs een enkele dimensie. |
| Lineaire versneller          | Een apparaat dat geladen deeltjes versnelt in een rechte lijn voor gebruik in deeltjesfysica-experimenten.        |
| Lineaire vergroting            | De verhouding tussen de grootte van een beeld en de grootte van het object in een optisch systeem.               |
| Longitudinale golf           | Een golf waarbij deeltjes van het medium parallel bewegen met de richting van golfbeweging, zoals geluidsgolven.   |
| Longitudinale golven                | Golven waarbij deeltjes van het medium parallel aan de richting van golfvoortplanting bewegen.                      |
| Loop van lichtstraal           | De baan die een lichtstraal volgt wanneer deze door een lens gaat.                                               |
| Lopende golven               | Golven waarvan de energie en de beweging zich voortplanten door een medium, zoals geluidsgolven en watergolven.   |
| Lopende golven                      | Golven die zich voortplanten door een medium, zoals geluidsgolven.                                                  |
| Lorentzkracht               | De kracht die wordt uitgeoefend op een geladen deeltje dat zich beweegt door een magnetisch veld en een elektrisch veld. |
| Luchtweerstand                        | De wrijving die ontstaat tussen een object en de lucht tijdens beweging door de atmosfeer.                        |
| MRI                           | Een medische beeldvormingstechniek die magnetische velden en radiogolven gebruikt om gedetailleerde beelden van de interne structuren van het lichaam te produceren. |
| MRI                           | Een medische beeldvormingstechniek die magnetische velden en radiogolven gebruikt om gedetailleerde afbeeldingen van de interne structuren van het lichaam te maken. |
| Maansverduistering                 | Een verschijnsel waarbij de aarde tussen de zon en de maan komt, waardoor de maan tijdelijk donkerder lijkt.     |
| Machten van 10              | Een notatie die wordt gebruikt om grote of kleine getallen te representeren door ze te schrijven als een getal vermenigvuldigd met een macht van 10. |
| Machten van eenheden        | De exponenten die worden gebruikt in het machten van 10-systeem om de grootte van een eenheid aan te geven.       |
| Machten van eenheden               | Machten waarin eenheden worden gebruikt om grootheden met bepaalde dimensies te vertegenwoordigen, zoals m² voor oppervlakte. |
| Magnetisch veld              | Een veld dat ontstaat rond een magneet of een stroomvoerende geleider en dat een magnetische kracht uitoefent op andere magneten of stroomvoerende geleiders. |
| Magnetisch spoel             | Een spoel van geleidend materiaal dat wordt gebruikt om een magnetisch veld te genereren of magnetische inductie op te wekken. |
| Magnetische inductie         | Het fenomeen waarbij een veranderend magnetisch veld een elektrische stroom opwekt in een nabijgelegen geleider.  |
| Manen                              | Natuurlijke satellieten die in een baan om een planeet bewegen.                                                  |
| Massa                      | De hoeveelheid materie in een object, een maat voor de traagheid en de weerstand tegen versnelling.          |
| Massa                           | De hoeveelheid materie in een object.                                                                               |
| Massa-veer-systeem           | Een systeem bestaande uit een massa die aan een veer is bevestigd, dat vaak wordt gebruikt om harmonische trillingen te bestuderen. |
| Massadefect                         | Het verschil in massa tussen de massa van een samengesteld deeltje en de som van de massa's van zijn afzonderlijke componenten. |
| Massadefect                     | Het verschil in massa tussen de massa van een samengesteld deeltje en de som van de massa's van zijn afzonderlijke componenten. |
| Massagetal                          | Het totale aantal protonen en neutronen in de kern van een atoom.                                                     |
| Massaveersysteem                    | Een systeem bestaande uit een massa die aan een veer is bevestigd, waarbij de massa heen en weer beweegt rond een evenwichtspositie. |
| Materiaalkunde          | Een vakgebied dat zich bezighoudt met het bestuderen van de eigenschappen, structuur en toepassingen van materialen.   |
| Materie                       | Alle stoffen waaruit de fysieke wereld bestaat, inclusief atomen, moleculen en deeltjes.                          |
| Medische beeld                | Een visuele representatie verkregen door medische beeldvormingstechnieken om interne structuren van het menselijk lichaam te visualiseren. |
| Meetonzekerheid             | De mate van onzekerheid of fout die gepaard gaat met een meting, meestal uitgedrukt als een bereik of marge van de waarde. |
| Meetonzekerheid                    | De mate van onzekerheid of fout in een meting, veroorzaakt door beperkingen van instrumenten of menselijke fouten.   |
| Meetsysteem                   | Een systeem dat gebruikt wordt om fysieke grootheden te meten en te registreren.                                |
| Mesonen                             | Quarkcombinaties bestaande uit een quark en een antiquark.                                                            |
| Metalen                 | Materialen die over het algemeen goede geleiders zijn van warmte en elektriciteit, en die vaak worden gebruikt vanwege hun mechanische eigenschappen. |
| Microfoon                    | Een apparaat dat geluid omzet in een elektrisch signaal door de vibraties van geluidsgolven te registreren.        |
| Middelpuntzoekende kracht      | De kracht die naar het middelpunt van een cirkelvormige baan wijst en nodig is om een object in die baan te houden. |
| Middelpuntzoekende kracht    | De kracht die een object naar het middelpunt van een cirkelvormige baan trekt wanneer het in een cirkelvormige beweging verkeert. |
| Middelpuntzoekende kracht          | De kracht die ervoor zorgt dat een object in een cirkelbeweging naar het middelpunt van die cirkel wordt getrokken. |
| Modellen van licht                | Diverse theoretische frameworks die worden gebruikt om het gedrag van licht te beschrijven, zoals golven en deeltjesmodellen. |
| Molecuulmodel           | Een representatie van de opbouw en de onderlinge interacties van moleculen binnen een stof.                           |
| Momenten                              | De krachten die resulteren in een draaiende beweging rond een vast punt.                                          |
| Momenten in evenwicht                 | Wanneer de som van de momenten rond een draaipunt nul is, is het systeem in evenwicht.                           |
| Muon                                | Een subatomair deeltje vergelijkbaar met een zwaarder elektron, behorend tot de leptonfamilie.                        |
| Muziekinstrumenten           | Apparaten die geluid produceren door trillingen, zoals snaar-, blaas- en slaginstrumenten.                        |
| Muziekinstrumenten                  | Apparaten die geluid produceren en gebruikt worden om muziek te maken.                                             |
| NTC temperatuurgevoelige weerstand      | Een weerstand waarvan de weerstandswaarde afneemt naarmate de temperatuur stijgt.                                        |
| NTC-weerstand                 | Een weerstand waarvan de weerstand afneemt met toenemende temperatuur, bekend als een negatieve temperatuurcoëfficiënt weerstand. |
| Negatieve lenzen               | Lenzen die lichtstralen divergeren en beelden verkleinen.                                                        |
| Neutrino's                          | Neutrale, subatomaire deeltjes met zeer kleine massa en geen elektrische lading.                                    |
| Neutrinodetectoren                  | Detectoren ontworpen om neutrino's te detecteren, vaak gebaseerd op interacties met andere deeltjes.                 |
| Nevelvat                            | Een apparaat ontworpen om sporen van geladen deeltjes te registreren door condensatie van dampen.                    |
| Noorderlicht                 | Een natuurlijk fenomeen waarbij gekleurde lichten in de lucht verschijnen in de buurt van de magnetische polen van de aarde als gevolg van interacties tussen zonnewind en het aardmagnetisch veld. |
| Normaalkracht              | De kracht die loodrecht staat op het oppervlak waarop een voorwerp rust en die wordt uitgeoefend door dat oppervlak op het voorwerp. |
| Normaalkracht                     | De kracht die loodrecht staat op het oppervlak waarop een object rust, gericht van het oppervlak af.   |
| Nulpunt van energie            | Een referentiepunt waarbij de potentiele energie van een object als nul wordt beschouwd, vaak gekozen als een handige referentie voor berekeningen. |
| Numerieke rekenmethode       | Een methode die gebruikmaakt van numerieke benaderingen en berekeningen om oplossingen te vinden voor wiskundige problemen die niet analytisch kunnen worden opgelost. |
| OF-poort                      | Een logische poort die een logische OF-operatie uitvoert op twee of meer ingangen.                              |
| Omgekeerd evenredig verband        | Een verband waarbij een toename in één variabele resulteert in een proportionele afname in de andere variabele.       |
| Omgekeerd kwadratisch evenredig verband | Een verband waarbij de ene variabele omgekeerd kwadratisch afhangt van de andere variabele.                           |
| Omgekeerde parallellogrammethode  | Een geometrische techniek gebruikt om de componenten van een kracht te vinden door een parallellogram te construeren. |
| Omlooptijd                    | De tijd die nodig is voor een object om één volledige omwenteling of cirkelbeweging uit te voeren.                |
| Omlooptijd                         | De tijd die nodig is voor een object om één volledige cirkelbeweging uit te voeren.                              |
| Omrekenen van eenheden             | Het proces van omzetten van een waarde van de ene eenheid naar een andere, vaak met omrekeningsfactoren.             |
| Omrekeningsfactor van eenheden | De factor waarmee een grootheid moet worden vermenigvuldigd om deze van de ene eenheid naar de andere om te zetten. |
| Onbepaaldheidsrelatie            | Het principe dat er een fundamentele beperking is aan hoe nauwkeurig we gelijktijdig de positie en impuls van een deeltje kunnen meten. |
| Onbepaaldheidsrelatie van Heisenberg | De kwantummechanische onbepaaldheidsrelatie die stelt dat het onmogelijk is om gelijktijdig de exacte positie en impuls van een deeltje te meten. |
| Ontdekking van neutrino's           | De ontdekking van neutrino's in 1956 door Cowan en Reines, bevestigend dat deze deeltjes daadwerkelijk bestaan.       |
| Ontsnappingssnelheid           | De minimale snelheid die een object moet hebben om te ontsnappen aan het gravitatieveld van een hemellichaam, zoals de aarde. |
| Oorzaak en gevolg               | Het concept van gebeurtenissen die elkaar opvolgen in de tijd, waarbij de oorzaak voorafgaat aan het gevolg.       |
| Opgesloten kwantumdeeltjes        | Deeltjes die zich in een beperkte ruimte bevinden en worden onderworpen aan kwantummechanische effecten zoals energieniveaus en probabilistische locatie. |
| Oppervlakte                        | De ruimte beslaan door een tweedimensionaal object, uitgedrukt in vierkante eenheden.                                 |
| Optische telescoop            | Een instrument dat gebruikmaakt van lenzen of spiegels om zichtbaar licht te verzamelen en beelden van hemellichamen te produceren. |
| Optische eigenschappen         | Eigenschappen van materialen of systemen die invloed hebben op de interactie met licht, zoals brekingsindex en transparantie. |
| Opwekking van elektrische energie       | Het proces waarbij elektrische energie wordt geproduceerd uit andere vormen van energie.                                |
| Orde van grootte            | Een benadering van de grootte van een getal of grootheid, meestal uitgedrukt als een macht van 10.              |
| Orde van grootte                   | Een benadering van de grootte van een getal, meestal uitgedrukt als een macht van 10.                                |
| Oscilloscoop                 | Een instrument dat wordt gebruikt om elektrische signalen grafisch weer te geven, waaronder trillingspatronen.    |
| PET-scan                      | Een medische beeldvormingstechniek die positronemissietomografie gebruikt om metabole processen in het lichaam in kaart te brengen. |
| Parallel-serieschakeling                | Een combinatie van serieschakelingen en parallelschakelingen.                                                            |
| Parallelschakeling            | Een elektrische schakeling waarbij de componenten parallel zijn verbonden, waardoor de spanning over elk component gelijk blijft. |
| Parallelschakeling                     | Een schakeling waarin de componenten naast elkaar zijn geschakeld en hetzelfde spanningsverschil ervaren.               |
| Parsec                        | Een eenheid van afstand in de astronomie, ongeveer gelijk aan 3,26 lichtjaar.                                        |
| Periodieke beweging          | Een beweging die zich herhaalt in een regelmatig patroon na een bepaalde tijdsperiode.                            |
| Periodieke beweging                 | Een beweging die zich herhaalt in regelmatige intervallen.                                                          |
| Plaats en impuls in een deeltjesmodel | De mate van onzekerheid in het bepalen van zowel de positie als de impuls van een deeltje binnen de context van de kwantummechanica. |
| Plaats en impuls in een golfmodel | De mate van onzekerheid in het bepalen van zowel de positie als de impuls van een golf binnen de context van golffenomenen. |
| Plaats-tijd diagram          | Een grafische voorstelling waarbij de plaats van een object wordt uitgezet tegen de tijd, waardoor de positie van het object in de tijd kan worden gevolgd. |
| Plaats-tijd diagram                 | Een grafische voorstelling van de positie van een object ten opzichte van de tijd.                      |
| Planeten                           | Grote hemellichamen die in een baan om een ster bewegen en geen licht van zichzelf uitstralen.                  |
| Polaire satelliet              | Een kunstmatige satelliet die in een baan rond de aarde beweegt die over de polen gaat, wat resulteert in een dekkingsgebied over de gehele aarde. |
| Polaire satellieten                | Satellieten die in een baan om de aarde bewegen met een inclinatie ten opzichte van de evenaar.                   |
| Polymeren               | Materialen die zijn samengesteld uit lange ketens van moleculen en die vaak worden gebruikt vanwege hun flexibiliteit, lage dichtheid en isolerende eigenschappen. |
| Positieve lenzen               | Lenzen die lichtstralen convergeren en beelden vergroten.                                                        |
| Positron                            | Het antideeltje van het elektron, met een positieve lading.                                                            |
| Potentiele energie             | De energie die een object heeft vanwege zijn positie of configuratie, zoals gravitatie-energie of veerenergie.    |
| Potentiële energie           | De energie die een object heeft vanwege zijn positie of configuratie in een veld, zoals elektrisch of zwaartekracht.|
| Pulsenteller                  | Een apparaat dat pulsen telt.                                                                                    |
| Quarks                              | Elementaire deeltjes die de bouwstenen vormen van hadronen zoals protonen en neutronen.                               |
| Radar                       | Een technologie die gebruikmaakt van radiogolven om de afstand, snelheid en andere eigenschappen van objecten te detecteren en te meten. |
| Radiaal homogeen veld        | Een elektrisch veld waarvan de krachtlijnen evenwijdig en gelijkmatig verdeeld zijn vanuit een centraal punt.    |
| Radioactiviteit               | Het proces waarbij instabiele atomen radioactieve straling uitzenden bij het ondergaan van verval.                    |
| Radiotelescoop                | Een instrument dat gebruikt wordt om radiogolven van hemellichamen te detecteren en te analyseren.                   |
| Radiotherapie                 | Een medische behandeling waarbij ioniserende straling wordt gebruikt om kankerweefsel te vernietigen of te beheersen. |
| Radiotherapie                 | Een medische behandeling waarbij ioniserende straling wordt gebruikt om kanker te behandelen.                 |
| Recht evenredigheid verband | Een specifiek type lineair verband waarbij de variabelen recht evenredig zijn, wat betekent dat ze in dezelfde verhouding veranderen en door de oorsprong gaan wanneer grafisch weergegeven. |
| Recht evenredig verband            | Een type lineair verband waarbij de verhouding tussen twee variabelen constant is.                                    |
| Referentiestelsel               | Een kader dat wordt gebruikt om de positie en beweging van objecten te beschrijven.                                |
| Regelbare weerstand           | Een weerstand waarvan de weerstandswaarde kan worden aangepast.                                                   |
| Regelbare weerstand                     | Een weerstand waarvan de weerstandswaarde handmatig kan worden aangepast.                                               |
| Regelsysteem                  | Een systeem dat regels en voorschriften hanteert om een bepaald doel te bereiken of een proces te reguleren.     |
| Rek                        | De mate van vervorming of uitrekking van een materiaal onder invloed van een externe kracht.                 |
| Rekenen met telwaarden             | Het uitvoeren van wiskundige bewerkingen met getallen zonder rekening te houden met eenheden.                         |
| Rendement                     | De verhouding tussen de bruikbare output van een apparaat, zoals energie of arbeid, en de input, meestal uitgedrukt als een percentage. |
| Rendement                               | De verhouding tussen de nuttige output en de totale input van een energieomzetting.                                     |
| Resonantie                   | Het fenomeen waarbij een object wordt gedwongen om te trillen met een specifieke frequentie wanneer het wordt blootgesteld aan een externe trillingsbron met dezelfde frequentie. |
| Resonantie                          | Het fenomeen waarbij een systeem wordt gestimuleerd om te trillen met een specifieke frequentie als gevolg van een externe trilling met dezelfde frequentie. |
| Resulterende kracht        | De enkele kracht die hetzelfde effect heeft als alle oorspronkelijke krachten samen, en die de totale beweging of vervorming van een object bepaalt. |
| Resulterende kracht               | De enkele kracht die het effect van meerdere toegepaste krachten op een object vertegenwoordigt.       |
| Resulterende kracht                   | De kracht die op een object wordt uitgeoefend, die een verandering in de snelheid van het object veroorzaakt.    |
| Reëel gas                  | Een gas waarvan het gedrag afwijkt van dat van een ideaal gas onder bepaalde omstandigheden.                 |
| Risico's van ioniserende straling | Potentiële gevaren voor de gezondheid die gepaard gaan met blootstelling aan ioniserende straling, zoals weefselschade en het verhoogde risico op kanker. |
| Rood-blauwverschuiving         | Een verschuiving van de golflengte van licht naar het rood of blauw uiteinde van het spectrum als gevolg van respectievelijk een beweging van de lichtbron naar de waarnemer toe of van de waarnemer af. |
| Roodverschuiving              | Het verschijnsel waarbij de golflengten van elektromagnetische straling langer worden als gevolg van de uitdijing van het universum, vaak waargenomen bij verre sterrenstelsels. |
| Ruimtetelescoop               | Een telescoop die zich buiten de atmosfeer van de aarde bevindt om de effecten van atmosferische storingen te vermijden en een duidelijker zicht op het heelal te bieden. |
| Ruimtetelescopen                   | Telescopen die in de ruimte zijn geplaatst om de effecten van de aardse atmosfeer te vermijden.                   |
| Ruimtetijd diagram              | Een diagram dat de ruimtetijdvisualisatie van gebeurtenissen weergeeft.                                            |
| Röntgenbuis                  | Een apparaat dat wordt gebruikt om röntgenstralen te produceren voor medische beeldvorming en industriële toepassingen. |
| Röntgenfoto                   | Een beeld verkregen door röntgenstraling door het lichaam te laten gaan en de absorptie ervan door verschillende weefsels vast te leggen. |
| Röntgenfoto                   | Een medische beeldvormingstechniek die röntgenstraling gebruikt om afbeeldingen van interne structuren van het lichaam te maken. |
| SI-eenheden stelsel         | Het Internationale Stelsel van Eenheden, een standaardstelsel dat wordt gebruikt voor het meten van fysieke grootheden, gebaseerd op zeven basiseenheden. |
| Scanning tunneling microscope    | Een instrument dat gebruikmaakt van het tunneleffect van elektronen om atomaire oppervlakken met ongekende resolutie te visualiseren. |
| Schaduwvorming                 | Het fenomeen waarbij een object het licht blokkeert, waardoor er een donker gebied ontstaat achter het object.   |
| Schakeling                             | Een combinatie van elektrische componenten die zijn verbonden om een bepaalde functie uit te voeren.                     |
| Schakelingen analyseren       | Het proces van het bestuderen en begrijpen van elektrische circuits om hun werking te begrijpen.                   |
| Schijfwrijvingskracht             | De kracht die optreedt wanneer twee oppervlakken langs elkaar bewegen, waarbij wrijving weerstand biedt tegen de beweging. |
| Schuifwrijvingskracht      | De kracht die ontstaat tussen twee oppervlakken die over elkaar schuiven en die de beweging belemmert.      |
| Schwarzschildstraal             | De straal waarbinnen de ontsnappingssnelheid groter is dan de lichtsnelheid, wat een object in een zwart gat zou veranderen. |
| Scintigrafie                  | Een medische beeldvormingstechniek die gebruikmaakt van radioactieve tracers om de functie van organen en weefsels te beoordelen. |
| Scintigrafie                  | Een medische beeldvormingstechniek die gebruikmaakt van radioactieve tracers om de functie van interne organen te onderzoeken. |
| Sensoren                      | Apparaten die fysieke of chemische grootheden omzetten naar elektrische signalen.                               |
| Sensorresolutie               | De mate waarin een sensor in staat is om kleine veranderingen in de gemeten grootheid waar te nemen en te registreren. |
| Serieschakeling               | Een elektrische schakeling waarbij de componenten in serie zijn verbonden, waardoor de stroom door elk component gelijk blijft. |
| Serieschakeling                        | Een schakeling waarin de componenten achter elkaar zijn geschakeld en dezelfde stroom doorlopen.                         |
| Significante cijfers        | De cijfers in een numerieke waarde die relevant zijn en betekenis hebben op basis van de nauwkeurigheid van de meting. |
| Significante cijfers               | De cijfers in een numerieke waarde die bijdragen aan de nauwkeurigheid van de meting.                                 |
| Smart materialen        | Materialen die hun eigenschappen kunnen aanpassen in reactie op externe stimuli, zoals temperatuur, licht of elektrische velden. |
| Smeltwarmte                | De hoeveelheid warmte die nodig is om een stof van de vaste naar de vloeibare fase te smelten, ook wel latente warmte van smelten genoemd. |
| Snaarinstrument              | Een muziekinstrument dat geluid produceert door trillingen van een of meer snaren, zoals een gitaar of een viool. |
| Snaarinstrumenten                   | Muziekinstrumenten waarbij geluid wordt geproduceerd door het trillen van snaren.                                  |
| Snelheid op een tijdstip     | De snelheid van een object op een specifiek tijdstip, weergegeven op een plaats-tijd diagram.                       |
| Snelheid op een tijdstip            | De snelheid van een object op een specifiek moment in de tijd.                                           |
| Snelheid                            | De snelheid waarmee een object zich verplaatst, uitgedrukt als de afstand die wordt afgelegd per tijdseenheid. |
| Snelheid-tijd diagram               | Een grafische voorstelling van de snelheid van een object ten opzichte van de tijd.                      |
| Snelheidsverandering                  | De mate waarin de snelheid van een object verandert, bepaald door de resulterende kracht die erop werkt.         |
| Snijlijn                    | Een lijn die twee andere lijnen of curven op een grafiek snijdt, wat de oplossing vertegenwoordigt voor het snijpunt van twee vergelijkingen. |
| Soortelijke warmte         | De hoeveelheid warmte die nodig is om de temperatuur van een bepaalde massa van een stof met één graad Celsius te verhogen. |
| Soortelijke warmte      | De hoeveelheid warmte die nodig is om de temperatuur van eenheid massa van een stof met één graad Celsius te verhogen. |
| Spankracht                 | De kracht die wordt uitgeoefend door een touw, kabel of ander materiaal wanneer het wordt uitgerekt.         |
| Spankracht                        | De kracht die wordt uitgeoefend op een uitgerekt of samengedrukt elastisch voorwerp, zoals een touw of veer. |
| Spanning                   | De kracht per oppervlakte-eenheid die wordt uitgeoefend op een materiaal.                                    |
| Spanning                                | Het potentiaalverschil tussen twee punten in een elektrisch circuit, gemeten in volt (V).                                |
| Spanning-rek diagram       | Een grafiek die de relatie tussen de spanning en de mate van vervorming of rek van een materiaal weergeeft.  |
| Spanningsbronnen                        | Apparaten die elektrische energie leveren en een potentiaalverschil creëren tussen twee punten.                         |
| Spanningsstroom               | De stroom die optreedt wanneer er een potentiaalverschil is tussen twee punten in een geleider.                    |
| Spanningswet van Kirchhoff     | Een natuurwet die stelt dat de algebraïsche som van de spanningsveranderingen in een gesloten lus van een elektrische schakeling nul is. |
| Speciale relativiteitstheorie   | De theorie die de relativiteit van ruimte en tijd beschrijft voor waarnemers in een niet-versnellend referentiestelsel. |
| Spectraalanalyse              | Het proces van het bestuderen van het spectrum van elektromagnetische straling van een object, vaak gebruikt om de samenstelling, temperatuur en beweging van hemellichamen te achterhalen. |
| Spectraalanalyse               | Het proces van het analyseren van licht om informatie te verkrijgen over de samenstelling van de lichtbron.      |
| Standaardmodel van de elementaire deeltjes | De huidige theoretische basis die de eigenschappen van elementaire deeltjes en hun interacties beschrijft.          |
| Sterkte van lens               | De mate waarin een lens lichtstralen kan buigen, bepaald door de brekingsindex van het materiaal en de kromming van de lens. |
